Counts for Apple(2) in Singapore(39):
Hour	Location Index	Count
0	0	0
1	0	15
2	0	29
3	0	0
4	0	0
5	0	42
6	0	29
7	0	0
8	0	29
9	0	29
10	0	29
11	0	66
12	0	87
13	0	77
14	0	87
15	0	77
16	0	96
17	0	15
18	0	29
19	0	0
20	0	0
21	0	0
22	0	0
23	0	29
0	1	16
1	1	24
2	1	30
3	1	18
4	1	18
5	1	21
6	1	26
7	1	27
8	1	20
9	1	25
10	1	29
11	1	27
12	1	31
13	1	44
14	1	40
15	1	44
16	1	22
17	1	16
18	1	13
19	1	4
20	1	3
21	1	4
22	1	10
23	1	12
0	2	0
1	2	0
2	2	0
3	2	118
4	2	0
5	2	0
6	2	0
7	2	68
8	2	68
9	2	68
10	2	68
11	2	0
12	2	0
13	2	0
14	2	68
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	9
1	3	31
2	3	28
3	3	16
4	3	16
5	3	49
6	3	24
7	3	49
8	3	55
9	3	24
10	3	38
11	3	35
12	3	31
13	3	52
14	3	55
15	3	55
16	3	52
17	3	20
18	3	9
19	3	9
20	3	9
21	3	5
22	3	16
23	3	5
0	4	16
1	4	21
2	4	28
3	4	29
4	4	22
5	4	15
6	4	19
7	4	27
8	4	19
9	4	34
10	4	30
11	4	38
12	4	38
13	4	43
14	4	49
15	4	31
16	4	29
17	4	17
18	4	10
19	4	10
20	4	8
21	4	10
22	4	8
23	4	7
0	5	32
1	5	27
2	5	22
3	5	37
4	5	22
5	5	42
6	5	17
7	5	27
8	5	11
9	5	6
10	5	22
11	5	17
12	5	55
13	5	55
14	5	76
15	5	98
16	5	42
17	5	42
18	5	22
19	5	11
20	5	0
21	5	6
22	5	6
23	5	17
0	6	30
1	6	0
2	6	15
3	6	0
4	6	15
5	6	30
6	6	0
7	6	30
8	6	15
9	6	15
10	6	15
11	6	0
12	6	30
13	6	15
14	6	15
15	6	43
16	6	55
17	6	15
18	6	0
19	6	0
20	6	0
21	6	0
22	6	30
23	6	0
