Counts for Samsung(12) in Brazil(4):
Hour	Location Index	Count
0	0	137
1	0	0
2	0	0
3	0	82
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	82
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	82
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	30
12	2	0
13	2	0
14	2	57
15	2	0
16	2	0
17	2	30
18	2	0
19	2	30
20	2	30
21	2	0
22	2	0
23	2	0
0	3	0
1	3	47
2	3	116
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	47
11	3	47
12	3	47
13	3	0
14	3	0
15	3	47
16	3	47
17	3	0
18	3	85
19	3	0
20	3	85
21	3	0
22	3	47
23	3	0
0	4	26
1	4	50
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	26
10	4	0
11	4	38
12	4	26
13	4	14
14	4	0
15	4	26
16	4	14
17	4	26
18	4	14
19	4	14
20	4	38
21	4	50
22	4	14
23	4	26
0	5	64
1	5	35
2	5	35
3	5	0
4	5	35
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	64
11	5	0
12	5	0
13	5	0
14	5	0
15	5	35
16	5	0
17	5	35
18	5	0
19	5	0
20	5	35
21	5	35
22	5	131
23	5	112
0	6	19
1	6	28
2	6	10
3	6	19
4	6	0
5	6	0
6	6	0
7	6	0
8	6	19
9	6	0
10	6	10
11	6	0
12	6	19
13	6	28
14	6	19
15	6	0
16	6	36
17	6	0
18	6	0
19	6	28
20	6	19
21	6	67
22	6	80
23	6	28
0	7	60
1	7	32
2	7	32
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	32
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	32
21	7	32
22	7	0
23	7	0
0	8	22
1	8	19
2	8	13
3	8	0
4	8	0
5	8	10
6	8	0
7	8	0
8	8	0
9	8	16
10	8	22
11	8	39
12	8	16
13	8	72
14	8	42
15	8	16
16	8	10
17	8	13
18	8	16
19	8	13
20	8	28
21	8	28
22	8	31
23	8	31
0	9	55
1	9	55
2	9	78
3	9	0
4	9	0
5	9	55
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	78
13	9	30
14	9	55
15	9	0
16	9	98
17	9	55
18	9	0
19	9	55
20	9	55
21	9	55
22	9	0
23	9	0
0	10	42
1	10	37
2	10	29
3	10	12
4	10	12
5	10	4
6	10	4
7	10	0
8	10	0
9	10	18
10	10	17
11	10	18
12	10	15
13	10	10
14	10	23
15	10	26
16	10	21
17	10	32
18	10	13
19	10	10
20	10	26
21	10	24
22	10	15
23	10	27
0	11	39
1	11	72
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	39
13	11	123
14	11	39
15	11	0
16	11	0
17	11	0
18	11	0
19	11	72
20	11	100
21	11	100
22	11	72
23	11	39
0	12	43
1	12	43
2	12	43
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	43
12	12	0
13	12	0
14	12	43
15	12	43
16	12	0
17	12	0
18	12	109
19	12	0
20	12	43
21	12	0
22	12	0
23	12	0
0	13	37
1	13	25
2	13	0
3	13	25
4	13	7
5	13	0
6	13	0
7	13	0
8	13	0
9	13	7
10	13	37
11	13	25
12	13	0
13	13	19
14	13	7
15	13	31
16	13	31
17	13	31
18	13	0
19	13	37
20	13	43
21	13	43
22	13	37
23	13	37
0	14	123
1	14	0
2	14	0
3	14	0
4	14	123
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	72
20	14	72
21	14	0
22	14	123
23	14	0
0	15	66
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	36
12	15	66
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	36
19	15	0
20	15	0
21	15	66
22	15	36
23	15	0
0	16	27
1	16	27
2	16	149
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	27
12	16	0
13	16	0
14	16	27
15	16	27
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	27
22	16	51
23	16	27
0	17	137
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	45
16	17	45
17	17	0
18	17	0
19	17	0
20	17	0
21	17	45
22	17	45
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	77
19	18	0
20	18	0
21	18	0
22	18	77
23	18	0
0	19	118
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	68
10	19	68
11	19	0
12	19	118
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	68
21	19	0
22	19	0
23	19	0
0	20	27
1	20	26
2	20	18
3	20	9
4	20	9
5	20	9
6	20	15
7	20	2
8	20	2
9	20	10
10	20	11
11	20	31
12	20	28
13	20	19
14	20	26
15	20	17
16	20	18
17	20	17
18	20	17
19	20	18
20	20	33
21	20	28
22	20	39
23	20	24
0	21	23
1	21	19
2	21	12
3	21	11
4	21	6
5	21	3
6	21	3
7	21	1
8	21	2
9	21	5
10	21	4
11	21	9
12	21	12
13	21	13
14	21	15
15	21	19
16	21	21
17	21	18
18	21	18
19	21	19
20	21	24
21	21	22
22	21	23
23	21	20
0	22	30
1	22	31
2	22	22
3	22	14
4	22	4
5	22	10
6	22	3
7	22	3
8	22	4
9	22	9
10	22	12
11	22	15
12	22	16
13	22	20
14	22	23
15	22	26
16	22	16
17	22	17
18	22	21
19	22	22
20	22	25
21	22	35
22	22	30
23	22	24
0	23	64
1	23	48
2	23	16
3	23	12
4	23	28
5	23	0
6	23	5
7	23	20
8	23	12
9	23	20
10	23	9
11	23	16
12	23	24
13	23	0
14	23	9
15	23	9
16	23	31
17	23	24
18	23	45
19	23	24
20	23	38
21	23	45
22	23	35
23	23	55
0	24	58
1	24	58
2	24	0
3	24	0
4	24	0
5	24	0
6	24	0
7	24	0
8	24	0
9	24	0
10	24	31
11	24	31
12	24	31
13	24	0
14	24	58
15	24	58
16	24	0
17	24	0
18	24	31
19	24	0
20	24	0
21	24	121
22	24	31
23	24	82
0	25	45
1	25	0
2	25	112
3	25	0
4	25	0
5	25	0
6	25	0
7	25	0
8	25	0
9	25	45
10	25	0
11	25	0
12	25	45
13	25	0
14	25	0
15	25	0
16	25	45
17	25	45
18	25	0
19	25	0
20	25	0
21	25	45
22	25	0
23	25	0
0	26	80
1	26	101
2	26	30
3	26	0
