Counts for Samsung(12) in Spain(41):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	30
6	0	0
7	0	30
8	0	0
9	0	0
10	0	0
11	0	0
12	0	30
13	0	30
14	0	0
15	0	30
16	0	57
17	0	30
18	0	30
19	0	30
20	0	0
21	0	0
22	0	57
23	0	30
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	61
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	61
19	1	0
20	1	0
21	1	107
22	1	0
23	1	0
0	2	0
1	2	6
2	2	3
3	2	0
4	2	0
5	2	6
6	2	12
7	2	9
8	2	12
9	2	15
10	2	9
11	2	15
12	2	29
13	2	3
14	2	12
15	2	23
16	2	29
17	2	9
18	2	9
19	2	29
20	2	21
21	2	12
22	2	12
23	2	6
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	61
6	3	0
7	3	0
8	3	0
9	3	0
10	3	23
11	3	0
12	3	0
13	3	0
14	3	23
15	3	23
16	3	0
17	3	23
18	3	0
19	3	0
20	3	23
21	3	0
22	3	61
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	21
10	4	0
11	4	21
12	4	21
13	4	21
14	4	21
15	4	0
16	4	21
17	4	0
18	4	0
19	4	40
20	4	40
21	4	0
22	4	0
23	4	0
0	5	0
1	5	4
2	5	0
3	5	0
4	5	0
5	5	0
6	5	10
7	5	4
8	5	4
9	5	10
10	5	23
11	5	7
12	5	10
13	5	10
14	5	10
15	5	23
16	5	17
17	5	14
18	5	0
19	5	10
20	5	38
21	5	4
22	5	4
23	5	4
0	6	0
1	6	9
2	6	0
3	6	9
4	6	0
5	6	18
6	6	0
7	6	13
8	6	5
9	6	5
10	6	9
11	6	9
12	6	22
13	6	13
14	6	22
15	6	26
16	6	26
17	6	26
18	6	33
19	6	18
20	6	26
21	6	33
22	6	18
23	6	9
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	14
6	7	14
7	7	0
8	7	14
9	7	0
10	7	26
11	7	0
12	7	26
13	7	14
14	7	14
15	7	49
16	7	14
17	7	0
18	7	14
19	7	70
20	7	26
21	7	14
22	7	14
23	7	0
0	8	12
1	8	6
2	8	3
3	8	3
4	8	5
5	8	12
6	8	6
7	8	13
8	8	16
9	8	18
10	8	10
11	8	12
12	8	18
13	8	25
14	8	20
15	8	24
16	8	18
17	8	18
18	8	28
19	8	30
20	8	38
21	8	31
22	8	25
23	8	9
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	8
7	9	8
8	9	22
9	9	29
10	9	15
11	9	35
12	9	15
13	9	22
14	9	22
15	9	8
16	9	8
17	9	8
18	9	35
19	9	8
20	9	15
21	9	0
22	9	8
23	9	42
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	55
16	10	0
17	10	98
18	10	0
19	10	0
20	10	0
21	10	55
22	10	0
23	10	0
0	11	43
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	43
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	43
19	11	43
20	11	0
21	11	79
22	11	79
23	11	0
0	12	5
1	12	0
2	12	0
3	12	2
4	12	2
5	12	4
6	12	9
7	12	9
8	12	7
9	12	8
10	12	7
11	12	10
12	12	25
13	12	19
14	12	37
15	12	25
16	12	15
17	12	15
18	12	14
19	12	28
20	12	19
21	12	17
22	12	20
23	12	12
0	13	3
1	13	7
2	13	3
3	13	4
4	13	6
5	13	6
6	13	7
7	13	9
8	13	5
9	13	10
10	13	8
11	13	9
12	13	16
13	13	22
14	13	24
15	13	15
16	13	14
17	13	12
18	13	16
19	13	12
20	13	21
21	13	15
22	13	14
23	13	9
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	48
7	14	103
8	14	0
9	14	0
10	14	0
11	14	25
12	14	0
13	14	48
14	14	25
15	14	25
16	14	0
17	14	143
18	14	0
19	14	25
20	14	25
21	14	103
22	14	25
23	14	0
0	15	0
1	15	49
2	15	0
3	15	0
4	15	0
5	15	0
6	15	26
7	15	0
8	15	0
9	15	0
10	15	26
11	15	88
12	15	26
13	15	69
14	15	0
15	15	26
16	15	26
17	15	0
18	15	26
19	15	0
20	15	26
21	15	69
22	15	26
23	15	26
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	55
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	31
12	17	0
13	17	0
14	17	0
15	17	0
16	17	31
17	17	0
18	17	58
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	18
1	18	4
2	18	0
3	18	2
4	18	4
5	18	6
6	18	8
7	18	11
8	18	17
9	18	20
10	18	33
11	18	26
12	18	27
13	18	28
14	18	32
15	18	26
16	18	27
17	18	53
18	18	26
19	18	39
20	18	45
21	18	46
22	18	32
23	18	32
0	19	10
1	19	4
2	19	0
3	19	4
4	19	0
5	19	7
6	19	0
7	19	22
8	19	25
9	19	19
10	19	25
11	19	10
12	19	13
13	19	16
14	19	16
15	19	19
16	19	10
17	19	19
18	19	19
19	19	28
20	19	13
21	19	36
22	19	13
23	19	19
0	20	10
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	19
7	20	19
8	20	0
9	20	10
10	20	10
11	20	53
12	20	19
13	20	0
14	20	0
15	20	45
16	20	0
17	20	10
18	20	10
19	20	45
20	20	19
21	20	10
22	20	19
23	20	19
0	21	51
1	21	25
2	21	10
3	21	16
4	21	7
5	21	22
6	21	61
7	21	22
8	21	37
9	21	40
10	21	25
11	21	37
12	21	34
13	21	45
14	21	43
15	21	40
16	21	13
17	21	22
18	21	22
19	21	22
20	21	22
21	21	51
22	21	73
23	21	68
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	9
7	22	9
8	22	24
9	22	9
10	22	24
11	22	45
12	22	38
13	22	24
14	22	9
15	22	9
16	22	9
17	22	38
18	22	38
19	22	31
20	22	31
21	22	9
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	28
9	23	0
10	23	73
11	23	28
12	23	0
13	23	0
14	23	28
15	23	52
