Counts for Apple(2) in Spain(41):
Hour	Location Index	Count
0	0	57
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	30
7	0	0
8	0	30
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	30
16	0	30
17	0	0
18	0	0
19	0	30
20	0	30
21	0	57
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	61
13	1	0
14	1	0
15	1	0
16	1	0
17	1	107
18	1	61
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	9
1	2	9
2	2	0
3	2	0
4	2	0
5	2	3
6	2	18
7	2	9
8	2	42
9	2	23
10	2	44
11	2	29
12	2	61
13	2	63
14	2	49
15	2	29
16	2	34
17	2	31
18	2	21
19	2	37
20	2	49
21	2	44
22	2	26
23	2	18
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	23
6	3	0
7	3	23
8	3	43
9	3	0
10	3	23
11	3	23
12	3	23
13	3	0
14	3	23
15	3	0
16	3	61
17	3	0
18	3	0
19	3	78
20	3	0
21	3	0
22	3	0
23	3	43
0	4	0
1	4	0
2	4	0
3	4	0
4	4	73
5	4	40
6	4	40
7	4	40
8	4	57
9	4	40
10	4	40
11	4	0
12	4	21
13	4	21
14	4	0
15	4	0
16	4	21
17	4	0
18	4	21
19	4	40
20	4	21
21	4	57
22	4	21
23	4	21
0	5	20
1	5	7
2	5	10
3	5	0
4	5	0
5	5	17
6	5	23
7	5	65
8	5	35
9	5	23
10	5	17
11	5	23
12	5	20
13	5	44
14	5	23
15	5	32
16	5	29
17	5	54
18	5	23
19	5	49
20	5	52
21	5	52
22	5	29
23	5	26
0	6	9
1	6	5
2	6	5
3	6	5
4	6	0
5	6	13
6	6	9
7	6	18
8	6	22
9	6	26
10	6	26
11	6	26
12	6	52
13	6	37
14	6	13
15	6	18
16	6	13
17	6	26
18	6	33
19	6	33
20	6	30
21	6	33
22	6	9
23	6	13
0	7	14
1	7	14
2	7	14
3	7	0
4	7	60
5	7	79
6	7	0
7	7	14
8	7	49
9	7	38
10	7	0
11	7	14
12	7	14
13	7	0
14	7	0
15	7	14
16	7	26
17	7	38
18	7	14
19	7	70
20	7	26
21	7	26
22	7	14
23	7	0
0	8	9
1	8	3
2	8	4
3	8	4
4	8	3
5	8	12
6	8	19
7	8	23
8	8	19
9	8	15
10	8	25
11	8	23
12	8	23
13	8	25
14	8	23
15	8	19
16	8	22
17	8	25
18	8	24
19	8	23
20	8	31
21	8	38
22	8	26
23	8	13
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	8
6	9	8
7	9	15
8	9	8
9	9	22
10	9	8
11	9	15
12	9	8
13	9	8
14	9	29
15	9	8
16	9	22
17	9	60
18	9	22
19	9	65
20	9	54
21	9	48
22	9	60
23	9	8
0	10	0
1	10	55
2	10	0
3	10	0
4	10	0
5	10	0
6	10	55
7	10	0
8	10	0
9	10	55
10	10	0
11	10	55
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	132
20	10	98
21	10	55
22	10	0
23	10	132
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	133
6	11	43
7	11	79
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	43
14	11	43
15	11	0
16	11	43
17	11	0
18	11	43
19	11	43
20	11	43
21	11	0
22	11	0
23	11	0
0	12	7
1	12	8
2	12	5
3	12	3
4	12	6
5	12	12
6	12	11
7	12	14
8	12	21
9	12	29
10	12	34
11	12	25
12	12	30
13	12	22
14	12	25
15	12	21
16	12	31
17	12	25
18	12	35
19	12	48
20	12	43
21	12	28
22	12	25
23	12	4
0	13	4
1	13	3
2	13	2
3	13	0
4	13	2
5	13	20
6	13	17
7	13	16
8	13	23
9	13	21
10	13	15
11	13	18
12	13	15
13	13	20
14	13	16
15	13	10
16	13	19
17	13	22
18	13	25
19	13	45
20	13	41
21	13	34
22	13	9
23	13	12
0	14	25
1	14	0
2	14	0
3	14	0
4	14	0
5	14	25
6	14	0
7	14	0
8	14	25
9	14	25
10	14	0
11	14	0
12	14	25
13	14	0
14	14	25
15	14	0
16	14	0
17	14	25
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	26
10	15	26
11	15	0
12	15	0
13	15	0
14	15	0
15	15	26
16	15	0
17	15	104
18	15	0
19	15	0
20	15	0
21	15	0
22	15	26
23	15	0
0	16	55
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	55
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	55
16	16	98
17	16	55
18	16	0
19	16	0
20	16	0
21	16	98
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	82
8	17	82
9	17	0
10	17	58
11	17	0
12	17	0
13	17	31
14	17	0
15	17	31
16	17	0
17	17	58
18	17	0
19	17	31
20	17	0
21	17	0
22	17	31
23	17	31
0	18	4
1	18	2
2	18	2
3	18	1
4	18	5
5	18	8
6	18	11
7	18	13
8	18	12
9	18	13
10	18	10
11	18	16
12	18	14
13	18	16
14	18	17
15	18	14
16	18	12
17	18	12
18	18	18
19	18	30
20	18	21
21	18	24
22	18	17
23	18	12
0	19	0
1	19	0
2	19	4
3	19	4
4	19	0
5	19	0
6	19	4
7	19	25
8	19	16
9	19	19
10	19	28
11	19	22
12	19	25
13	19	41
14	19	47
15	19	33
16	19	22
17	19	19
18	19	25
19	19	49
20	19	36
21	19	25
22	19	19
23	19	13
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	10
6	20	19
7	20	0
8	20	37
9	20	19
10	20	10
11	20	10
12	20	28
13	20	19
14	20	28
15	20	10
16	20	10
17	20	10
18	20	0
19	20	10
20	20	0
21	20	10
22	20	19
23	20	0
0	21	4
1	21	0
2	21	0
3	21	4
4	21	0
5	21	0
6	21	7
7	21	4
8	21	7
9	21	10
10	21	13
11	21	0
12	21	4
13	21	4
14	21	16
15	21	10
16	21	13
17	21	0
18	21	0
19	21	4
20	21	10
21	21	19
22	21	13
23	21	4
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	9
6	22	16
7	22	0
8	22	9
9	22	9
10	22	24
11	22	76
12	22	31
13	22	16
14	22	52
15	22	24
16	22	9
17	22	16
18	22	16
19	22	9
20	22	9
21	22	24
22	22	38
23	22	16
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	52
6	23	0
7	23	0
8	23	28
9	23	28
10	23	0
11	23	28
12	23	73
13	23	73
14	23	126
15	23	93
16	23	28
17	23	28
18	23	52
19	23	52
20	23	28
21	23	0
22	23	0
23	23	28
0	24	5
1	24	0
2	24	5
3	24	0
4	24	15
5	24	15
6	24	5
7	24	5
8	24	52
9	24	24
10	24	24
11	24	28
12	24	28
13	24	36
14	24	24
15	24	5
16	24	19
17	24	32
18	24	5
19	24	24
20	24	28
21	24	24
22	24	24
23	24	10
0	25	12
1	25	9
2	25	3
3	25	3
4	25	3
5	25	6
6	25	12
7	25	17
8	25	31
9	25	12
10	25	15
11	25	28
12	25	12
13	25	33
14	25	17
15	25	6
16	25	23
17	25	33
18	25	25
19	25	15
20	25	50
21	25	43
