Counts for Samsung(12) in Sweden(42):
Hour	Location Index	Count
0	0	4
1	0	2
2	0	0
3	0	2
4	0	4
5	0	10
6	0	7
7	0	8
8	0	7
9	0	9
10	0	5
11	0	9
12	0	8
13	0	10
14	0	6
15	0	9
16	0	12
17	0	20
18	0	25
19	0	18
20	0	12
21	0	12
22	0	7
23	0	3
0	1	2
1	1	1
2	1	0
3	1	1
4	1	2
5	1	5
6	1	8
7	1	9
8	1	8
9	1	5
10	1	7
11	1	8
12	1	5
13	1	4
14	1	5
15	1	9
16	1	6
17	1	9
18	1	9
19	1	10
20	1	10
21	1	9
22	1	4
23	1	2
0	2	0
1	2	0
2	2	0
3	2	4
4	2	9
5	2	11
6	2	16
7	2	17
8	2	11
9	2	4
10	2	11
11	2	7
12	2	6
13	2	11
14	2	9
15	2	9
16	2	20
17	2	19
18	2	22
19	2	28
20	2	20
21	2	14
22	2	9
23	2	7
0	3	7
1	3	0
2	3	0
3	3	0
4	3	0
5	3	7
6	3	13
7	3	7
8	3	19
9	3	19
10	3	7
11	3	0
12	3	0
13	3	13
14	3	7
15	3	7
16	3	13
17	3	0
18	3	0
19	3	13
20	3	19
21	3	13
22	3	0
23	3	0
0	4	5
1	4	0
2	4	0
3	4	0
4	4	0
5	4	10
6	4	0
7	4	0
8	4	0
9	4	5
10	4	5
11	4	5
12	4	0
13	4	14
14	4	0
15	4	5
16	4	10
17	4	48
18	4	36
19	4	14
20	4	28
21	4	10
22	4	0
23	4	5
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	49
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	16
7	6	16
8	6	0
9	6	16
10	6	0
11	6	16
12	6	16
13	6	16
14	6	0
15	6	31
16	6	31
17	6	0
18	6	0
19	6	0
20	6	0
21	6	31
22	6	0
23	6	0
0	7	6
1	7	12
2	7	12
3	7	6
4	7	6
5	7	0
6	7	0
7	7	18
8	7	0
9	7	6
10	7	44
11	7	6
12	7	18
13	7	6
14	7	6
15	7	12
16	7	6
17	7	18
18	7	6
19	7	18
20	7	6
21	7	0
22	7	6
23	7	0
0	8	3
1	8	0
2	8	0
3	8	2
4	8	7
5	8	6
6	8	13
7	8	11
8	8	13
9	8	6
10	8	6
11	8	5
12	8	12
13	8	6
14	8	7
15	8	6
16	8	13
17	8	11
18	8	20
19	8	15
20	8	13
21	8	11
22	8	3
23	8	2
0	9	0
1	9	0
