Counts for Apple(2) in Sweden(42):
Hour	Location Index	Count
0	0	7
1	0	0
2	0	3
3	0	8
4	0	26
5	0	39
6	0	31
7	0	41
8	0	41
9	0	42
10	0	30
11	0	38
12	0	34
13	0	44
14	0	38
15	0	37
16	0	40
17	0	71
18	0	62
19	0	52
20	0	52
21	0	39
22	0	15
23	0	13
0	1	5
1	1	6
2	1	7
3	1	9
4	1	20
5	1	34
6	1	39
7	1	50
8	1	45
9	1	44
10	1	42
11	1	40
12	1	35
13	1	34
14	1	40
15	1	45
16	1	44
17	1	57
18	1	66
19	1	72
20	1	69
21	1	51
22	1	27
23	1	19
0	2	2
1	2	9
2	2	0
3	2	17
4	2	20
5	2	28
6	2	43
7	2	49
8	2	45
9	2	43
10	2	12
11	2	28
12	2	34
13	2	31
14	2	22
15	2	42
16	2	46
17	2	53
18	2	62
19	2	60
20	2	52
21	2	36
22	2	19
23	2	7
0	3	0
1	3	0
2	3	0
3	3	7
4	3	13
5	3	13
6	3	19
7	3	62
8	3	31
9	3	31
10	3	25
11	3	31
12	3	31
13	3	52
14	3	52
15	3	31
16	3	36
17	3	52
18	3	77
19	3	77
20	3	47
21	3	42
22	3	31
23	3	13
0	4	0
1	4	0
2	4	0
3	4	0
4	4	14
5	4	56
6	4	70
7	4	19
8	4	23
9	4	32
10	4	0
11	4	56
12	4	19
13	4	44
14	4	67
15	4	74
16	4	40
17	4	96
18	4	84
19	4	32
20	4	67
21	4	19
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	119
7	5	49
8	5	49
9	5	0
10	5	49
11	5	0
12	5	0
13	5	49
14	5	49
15	5	49
16	5	145
17	5	0
18	5	88
19	5	88
20	5	49
21	5	49
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	16
5	6	0
6	6	16
7	6	16
8	6	92
9	6	57
10	6	16
11	6	44
12	6	44
13	6	16
14	6	44
15	6	44
16	6	120
17	6	69
18	6	31
19	6	69
20	6	57
21	6	16
22	6	57
23	6	31
0	7	12
1	7	0
2	7	0
3	7	12
4	7	12
5	7	18
6	7	6
7	7	23
8	7	49
9	7	72
10	7	29
11	7	18
12	7	44
13	7	44
14	7	39
15	7	34
16	7	63
17	7	72
18	7	117
19	7	72
20	7	29
21	7	34
22	7	18
23	7	0
0	8	7
1	8	2
2	8	3
3	8	6
4	8	13
5	8	26
6	8	35
7	8	40
8	8	51
9	8	42
10	8	43
11	8	48
12	8	38
13	8	38
14	8	31
15	8	54
16	8	46
17	8	70
18	8	60
19	8	72
20	8	45
21	8	37
22	8	20
23	8	4
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	54
7	9	0
8	9	54
9	9	0
10	9	29
11	9	29
12	9	96
13	9	29
14	9	29
15	9	29
16	9	29
17	9	77
18	9	114
19	9	96
20	9	29
21	9	29
22	9	0
23	9	0
0	10	5
1	10	8
2	10	5
3	10	3
4	10	16
5	10	25
6	10	35
7	10	36
8	10	33
9	10	36
10	10	38
11	10	37
12	10	44
13	10	40
14	10	34
15	10	41
16	10	44
17	10	64
18	10	73
19	10	63
20	10	57
21	10	31
22	10	8
23	10	14
0	11	4
1	11	2
2	11	2
3	11	4
4	11	16
5	11	28
6	11	33
7	11	47
8	11	58
9	11	51
10	11	48
11	11	48
12	11	48
13	11	46
14	11	43
15	11	45
16	11	54
17	11	56
18	11	63
19	11	60
20	11	50
21	11	34
22	11	9
23	11	6
0	12	0
1	12	0
2	12	3
3	12	0
4	12	12
5	12	43
6	12	36
7	12	43
8	12	41
9	12	60
10	12	43
11	12	39
12	12	39
13	12	36
14	12	48
15	12	55
16	12	39
17	12	62
18	12	55
19	12	64
20	12	81
21	12	39
22	12	12
23	12	6
0	13	0
1	13	0
2	13	0
3	13	12
