Counts for Samsung(12) in Switzerland(43):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	27
6	0	7
7	0	7
8	0	0
9	0	27
10	0	7
11	0	14
12	0	0
13	0	7
14	0	7
15	0	0
16	0	27
17	0	0
18	0	0
19	0	39
20	0	51
21	0	21
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	40
7	1	18
8	1	0
9	1	7
10	1	7
11	1	13
12	1	40
13	1	13
14	1	29
15	1	0
16	1	24
17	1	24
18	1	29
19	1	7
20	1	18
21	1	40
22	1	29
23	1	13
0	2	0
1	2	0
2	2	0
3	2	14
4	2	49
5	2	38
6	2	14
7	2	14
8	2	69
9	2	38
10	2	49
11	2	38
12	2	0
13	2	0
14	2	38
15	2	26
16	2	0
17	2	14
18	2	59
19	2	14
20	2	14
21	2	14
22	2	26
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	4
10	3	14
11	3	14
12	3	30
13	3	7
14	3	11
15	3	4
16	3	0
17	3	14
18	3	11
19	3	7
20	3	36
21	3	0
22	3	0
23	3	39
0	4	5
1	4	5
2	4	0
3	4	0
4	4	0
5	4	10
6	4	5
7	4	10
8	4	47
9	4	18
10	4	10
11	4	10
12	4	5
13	4	14
14	4	10
15	4	18
16	4	14
17	4	18
18	4	47
19	4	47
20	4	27
21	4	5
22	4	10
23	4	14
0	5	4
1	5	8
2	5	0
3	5	2
4	5	2
5	5	8
6	5	11
7	5	11
8	5	13
9	5	4
10	5	14
11	5	8
12	5	13
13	5	4
14	5	4
15	5	21
16	5	16
17	5	18
18	5	16
19	5	13
20	5	11
21	5	20
22	5	9
23	5	4
0	6	0
1	6	15
2	6	0
3	6	0
4	6	10
5	6	15
6	6	10
7	6	0
8	6	20
9	6	0
10	6	0
11	6	5
12	6	10
13	6	5
14	6	15
15	6	0
16	6	42
17	6	15
18	6	50
19	6	15
20	6	38
21	6	0
22	6	0
23	6	10
0	7	16
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	8
9	7	0
10	7	0
11	7	8
12	7	0
13	7	16
14	7	30
15	7	8
16	7	8
17	7	16
18	7	16
19	7	0
20	7	8
21	7	0
22	7	0
23	7	16
0	8	2
1	8	0
2	8	4
3	8	2
4	8	4
5	8	5
6	8	12
7	8	15
8	8	15
9	8	12
10	8	15
11	8	11
12	8	10
13	8	11
14	8	10
15	8	13
16	8	23
17	8	20
18	8	22
19	8	14
20	8	15
21	8	18
22	8	10
23	8	3
0	9	0
1	9	2
2	9	0
3	9	0
4	9	3
5	9	11
6	9	12
7	9	12
8	9	7
9	9	12
10	9	23
11	9	30
12	9	7
13	9	11
14	9	27
15	9	25
16	9	17
17	9	32
18	9	34
19	9	48
20	9	47
21	9	10
22	9	2
23	9	3
0	10	2
1	10	5
2	10	2
3	10	3
4	10	17
5	10	10
6	10	8
7	10	5
8	10	9
9	10	13
10	10	12
11	10	17
12	10	8
13	10	13
14	10	16
15	10	13
16	10	15
17	10	20
18	10	14
19	10	25
20	10	18
21	10	14
22	10	11
23	10	7
0	11	11
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	11
8	11	11
9	11	11
10	11	11
11	11	11
12	11	42
13	11	11
14	11	0
15	11	22
16	11	0
17	11	11
18	11	0
19	11	11
20	11	0
21	11	0
22	11	0
23	11	11
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	20
6	12	38
7	12	7
8	12	0
9	12	38
10	12	20
11	12	0
12	12	7
13	12	0
14	12	0
15	12	7
16	12	20
17	12	14
18	12	32
19	12	74
20	12	7
21	12	7
22	12	0
23	12	0
0	13	8
1	13	4
2	13	4
3	13	5
4	13	6
5	13	13
6	13	15
7	13	18
8	13	20
9	13	17
10	13	17
11	13	15
12	13	13
13	13	17
14	13	21
15	13	21
16	13	20
17	13	23
18	13	18
19	13	25
20	13	24
21	13	20
22	13	15
23	13	12
0	14	0
1	14	0
2	14	0
3	14	17
4	14	0
5	14	0
6	14	17
7	14	0
8	14	0
9	14	0
10	14	17
11	14	0
12	14	0
13	14	17
14	14	0
15	14	32
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	3
1	15	0
2	15	0
3	15	0
4	15	0
5	15	3
6	15	3
7	15	0
8	15	15
9	15	15
10	15	10
11	15	15
12	15	10
13	15	3
14	15	0
15	15	0
16	15	0
17	15	8
18	15	10
19	15	15
20	15	10
21	15	15
22	15	6
23	15	8
0	16	0
1	16	0
2	16	0
3	16	0
4	16	6
5	16	6
6	16	9
7	16	3
8	16	6
9	16	3
10	16	6
11	16	0
12	16	3
13	16	9
14	16	3
15	16	28
16	16	12
17	16	9
18	16	12
19	16	14
20	16	23
21	16	9
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	18
6	17	0
7	17	26
8	17	42
9	17	0
10	17	9
11	17	50
12	17	18
13	17	0
14	17	50
15	17	26
16	17	42
17	17	9
18	17	0
19	17	64
20	17	18
21	17	50
22	17	9
23	17	0
0	18	0
1	18	3
2	18	3
3	18	0
4	18	3
5	18	9
6	18	5
7	18	9
8	18	19
9	18	25
10	18	5
11	18	17
12	18	19
13	18	5
14	18	9
15	18	5
16	18	7
17	18	17
18	18	11
19	18	15
20	18	25
21	18	5
22	18	17
23	18	5
0	19	0
1	19	0
2	19	0
3	19	0
4	19	6
5	19	2
6	19	3
7	19	17
8	19	17
9	19	20
10	19	8
11	19	21
12	19	2
13	19	11
14	19	19
15	19	32
16	19	21
17	19	14
18	19	32
19	19	35
20	19	42
21	19	16
22	19	2
23	19	3
0	20	0
1	20	0
2	20	0
3	20	0
4	20	13
5	20	0
6	20	69
7	20	0
8	20	26
9	20	0
10	20	0
11	20	0
12	20	37
13	20	0
14	20	13
15	20	48
16	20	26
17	20	138
18	20	78
19	20	48
20	20	48
21	20	0
22	20	0
23	20	0
0	21	2
1	21	1
2	21	3
3	21	2
4	21	3
5	21	5
6	21	6
7	21	15
8	21	8
9	21	13
10	21	15
11	21	8
12	21	3
13	21	8
14	21	14
15	21	15
16	21	23
17	21	27
18	21	28
19	21	21
20	21	20
21	21	13
22	21	6
23	21	6
0	22	9
1	22	13
2	22	3
3	22	6
4	22	5
5	22	3
6	22	5
7	22	20
8	22	7
9	22	5
10	22	14
11	22	13
12	22	9
13	22	10
14	22	14
15	22	22
16	22	10
17	22	24
18	22	22
19	22	10
20	22	29
21	22	23
22	22	9
23	22	7
0	23	0
1	23	10
2	23	0
3	23	10
4	23	19
5	23	19
6	23	0
7	23	0
8	23	0
9	23	10
10	23	10
11	23	10
12	23	0
13	23	0
14	23	0
