Counts for Apple(2) in Switzerland(43):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	21
3	0	7
4	0	14
5	0	7
6	0	21
7	0	0
8	0	33
9	0	14
10	0	27
11	0	51
12	0	39
13	0	27
14	0	14
15	0	21
16	0	77
17	0	14
18	0	21
19	0	87
20	0	131
21	0	51
22	0	51
23	0	0
0	1	7
1	1	0
2	1	7
3	1	0
4	1	7
5	1	0
6	1	7
7	1	45
8	1	45
9	1	18
10	1	0
11	1	55
12	1	7
13	1	13
14	1	45
15	1	50
16	1	24
17	1	69
18	1	24
19	1	50
20	1	29
21	1	50
22	1	24
23	1	7
0	2	0
1	2	0
2	2	0
3	2	14
4	2	26
5	2	14
6	2	0
7	2	0
8	2	59
9	2	0
10	2	26
11	2	0
12	2	0
13	2	0
14	2	14
15	2	26
16	2	0
17	2	79
18	2	14
19	2	26
20	2	88
21	2	0
22	2	49
23	2	69
0	3	14
1	3	7
2	3	11
3	3	4
4	3	4
5	3	7
6	3	27
7	3	33
8	3	33
9	3	27
10	3	53
11	3	33
12	3	17
13	3	42
14	3	33
15	3	53
16	3	27
17	3	50
18	3	69
19	3	59
20	3	105
21	3	53
22	3	59
23	3	39
0	4	14
1	4	0
2	4	5
3	4	0
4	4	10
5	4	23
6	4	23
7	4	23
8	4	35
9	4	43
10	4	39
11	4	39
12	4	10
13	4	31
14	4	31
15	4	39
16	4	31
17	4	43
18	4	68
19	4	58
20	4	78
21	4	31
22	4	27
23	4	10
0	5	6
1	5	2
2	5	4
3	5	2
4	5	14
5	5	11
6	5	43
7	5	39
8	5	51
9	5	53
10	5	59
11	5	49
12	5	34
13	5	13
14	5	20
15	5	28
16	5	49
17	5	45
18	5	66
19	5	60
20	5	67
21	5	51
22	5	46
23	5	16
0	6	15
1	6	0
2	6	0
3	6	5
4	6	15
5	6	33
6	6	15
7	6	33
8	6	20
9	6	38
10	6	62
11	6	46
12	6	20
13	6	15
14	6	38
15	6	42
16	6	29
17	6	80
18	6	62
19	6	58
20	6	73
21	6	50
22	6	0
23	6	5
0	7	0
1	7	0
2	7	0
3	7	0
4	7	43
5	7	79
6	7	56
7	7	37
8	7	23
9	7	23
10	7	23
11	7	23
12	7	30
13	7	37
14	7	30
15	7	16
16	7	30
17	7	84
18	7	95
19	7	95
20	7	74
21	7	37
22	7	43
23	7	0
0	8	5
1	8	4
2	8	6
3	8	4
4	8	9
5	8	14
6	8	20
7	8	28
8	8	36
9	8	46
10	8	38
11	8	43
12	8	39
13	8	26
14	8	30
15	8	40
16	8	61
17	8	57
18	8	51
19	8	58
20	8	45
21	8	37
22	8	21
23	8	11
0	9	3
1	9	2
2	9	2
3	9	4
4	9	16
5	9	16
6	9	22
7	9	28
8	9	39
9	9	28
10	9	40
11	9	36
12	9	29
13	9	36
14	9	40
15	9	30
16	9	46
17	9	42
18	9	57
19	9	49
20	9	42
21	9	51
22	9	16
23	9	8
0	10	11
1	10	5
2	10	4
3	10	5
4	10	16
5	10	22
6	10	38
7	10	30
8	10	36
9	10	27
10	10	36
11	10	37
12	10	28
13	10	31
14	10	29
15	10	37
16	10	40
17	10	53
18	10	53
19	10	66
20	10	63
21	10	57
22	10	31
23	10	14
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	32
7	11	42
8	11	0
9	11	76
10	11	51
11	11	68
12	11	22
13	11	60
14	11	11
15	11	0
16	11	98
17	11	42
18	11	51
19	11	129
20	11	42
21	11	42
22	11	22
23	11	32
0	12	0
1	12	0
2	12	7
3	12	0
4	12	7
5	12	14
6	12	43
7	12	14
8	12	7
9	12	0
10	12	32
11	12	74
12	12	20
13	12	0
14	12	0
15	12	32
16	12	43
17	12	7
18	12	70
19	12	84
20	12	79
21	12	92
22	12	0
23	12	14
0	13	8
1	13	4
2	13	6
3	13	3
4	13	10
5	13	22
6	13	25
7	13	25
8	13	37
9	13	28
10	13	37
11	13	30
12	13	25
13	13	23
14	13	23
15	13	35
16	13	38
17	13	42
18	13	53
19	13	59
20	13	54
21	13	44
22	13	22
23	13	13
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	32
6	14	32
7	14	96
8	14	47
9	14	73
10	14	47
11	14	106
12	14	17
13	14	32
14	14	32
15	14	85
16	14	17
17	14	32
18	14	47
19	14	60
20	14	60
21	14	32
22	14	0
23	14	17
0	15	3
1	15	0
2	15	6
3	15	6
4	15	34
5	15	22
6	15	27
7	15	22
8	15	27
9	15	46
10	15	31
11	15	42
12	15	22
13	15	27
14	15	31
15	15	59
16	15	42
17	15	68
18	15	57
19	15	82
20	15	91
21	15	36
22	15	31
23	15	13
0	16	14
1	16	3
2	16	3
3	16	12
4	16	20
5	16	28
6	16	43
7	16	38
8	16	17
9	16	40
10	16	23
11	16	30
12	16	28
13	16	45
14	16	25
15	16	52
16	16	28
17	16	43
18	16	59
19	16	112
20	16	102
21	16	57
22	16	38
23	16	23
0	17	18
1	17	0
2	17	0
3	17	0
4	17	18
5	17	26
6	17	0
7	17	50
8	17	18
9	17	42
10	17	34
11	17	18
12	17	9
13	17	26
14	17	18
15	17	64
16	17	34
17	17	34
18	17	83
19	17	50
20	17	34
21	17	18
22	17	26
23	17	18
0	18	11
1	18	3
2	18	7
3	18	7
4	18	15
5	18	21
6	18	27
7	18	31
8	18	15
9	18	29
10	18	27
11	18	40
12	18	29
13	18	32
14	18	25
15	18	29
16	18	54
17	18	36
18	18	54
19	18	47
20	18	88
21	18	100
22	18	54
23	18	23
0	19	0
1	19	2
2	19	0
3	19	3
4	19	12
5	19	16
6	19	19
7	19	24
8	19	31
9	19	31
10	19	48
11	19	28
12	19	37
13	19	21
14	19	26
15	19	53
16	19	34
17	19	34
18	19	58
19	19	57
20	19	58
21	19	33
22	19	28
23	19	16
0	20	0
1	20	0
2	20	0
3	20	0
4	20	26
5	20	37
6	20	26
7	20	69
8	20	26
9	20	13
10	20	0
11	20	13
12	20	13
13	20	0
14	20	0
15	20	13
16	20	37
17	20	13
18	20	13
19	20	26
20	20	59
21	20	0
22	20	13
23	20	0
0	21	5
1	21	6
2	21	8
3	21	5
4	21	11
5	21	19
6	21	32
7	21	29
8	21	40
9	21	31
10	21	46
11	21	33
12	21	29
13	21	24
14	21	39
15	21	30
16	21	46
17	21	60
18	21	59
19	21	69
20	21	69
21	21	44
22	21	26
23	21	6
0	22	7
1	22	3
2	22	3
3	22	6
4	22	27
5	22	17
6	22	41
7	22	20
8	22	48
9	22	29
10	22	38
11	22	15
12	22	18
13	22	27
14	22	29
15	22	32
16	22	48
17	22	55
18	22	62
19	22	78
20	22	65
21	22	51
22	22	35
23	22	10
0	23	28
1	23	0
2	23	0
3	23	0
4	23	0
5	23	19
6	23	53
7	23	53
8	23	60
9	23	19
10	23	60
11	23	10
12	23	67
13	23	28
14	23	37
15	23	28
