Counts for Samsung(12) in Taiwan(44):
Hour	Location Index	Count
0	0	9
1	0	10
2	0	11
3	0	9
4	0	14
5	0	7
6	0	8
7	0	12
8	0	9
9	0	16
10	0	7
11	0	11
12	0	12
13	0	14
14	0	16
15	0	10
16	0	7
17	0	5
18	0	3
19	0	1
20	0	2
21	0	1
22	0	10
23	0	12
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	137
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	148
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	64
11	2	0
12	2	64
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	45
1	3	0
2	3	16
3	3	0
4	3	16
5	3	0
6	3	0
7	3	16
8	3	16
9	3	0
10	3	0
11	3	0
12	3	70
13	3	16
14	3	16
15	3	45
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	16
0	4	25
1	4	25
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	25
9	4	0
10	4	0
11	4	0
12	4	0
13	4	25
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	76
2	5	18
3	5	0
4	5	34
5	5	0
6	5	18
7	5	0
8	5	0
9	5	18
10	5	0
11	5	49
12	5	0
13	5	0
14	5	0
15	5	18
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	18
0	6	29
1	6	21
2	6	29
3	6	4
4	6	27
5	6	12
6	6	12
7	6	7
8	6	12
9	6	15
10	6	15
11	6	18
12	6	15
13	6	12
14	6	15
15	6	15
16	6	10
17	6	4
18	6	4
19	6	0
20	6	4
21	6	7
22	6	7
23	6	42
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	45
9	8	0
10	8	0
11	8	0
12	8	0
13	8	45
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	82
23	8	0
0	9	0
1	9	31
2	9	0
3	9	0
4	9	0
5	9	16
6	9	0
7	9	16
8	9	0
9	9	0
10	9	0
11	9	16
12	9	0
13	9	16
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	8
1	11	13
2	11	17
3	11	15
4	11	13
5	11	16
6	11	18
7	11	12
8	11	15
9	11	7
10	11	12
11	11	10
12	11	10
13	11	12
14	11	14
15	11	12
16	11	10
17	11	9
18	11	3
19	11	2
20	11	1
21	11	1
