Counts for Sony(13) in Taiwan(44):
Hour	Location Index	Count
0	0	1
1	0	3
2	0	2
3	0	1
4	0	3
5	0	2
6	0	1
7	0	2
8	0	3
9	0	3
10	0	5
11	0	5
12	0	4
13	0	2
14	0	3
15	0	0
16	0	1
17	0	0
18	0	1
19	0	0
20	0	0
21	0	1
22	0	2
23	0	4
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	137
23	1	137
0	2	0
1	2	0
2	2	0
3	2	112
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	112
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	16
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	25
8	4	118
9	4	25
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	25
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	18
1	5	0
2	5	0
3	5	0
4	5	0
5	5	18
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	34
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	15
1	6	21
2	6	21
3	6	12
4	6	21
5	6	15
6	6	10
7	6	12
8	6	15
9	6	0
10	6	12
11	6	7
12	6	12
13	6	4
14	6	4
15	6	18
16	6	10
17	6	0
18	6	0
19	6	0
20	6	0
21	6	4
22	6	4
23	6	10
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
