Counts for Apple(2) in Taiwan(44):
Hour	Location Index	Count
0	0	73
1	0	22
2	0	31
3	0	31
4	0	30
5	0	37
6	0	12
7	0	19
8	0	34
9	0	44
10	0	22
11	0	19
12	0	23
13	0	26
14	0	20
15	0	24
16	0	10
17	0	10
18	0	5
19	0	4
20	0	2
21	0	11
22	0	46
23	0	68
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	201
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	64
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	64
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	31
1	3	0
2	3	16
3	3	16
4	3	31
5	3	16
6	3	45
7	3	0
8	3	45
9	3	31
10	3	0
11	3	58
12	3	16
13	3	31
14	3	0
15	3	16
16	3	16
17	3	31
18	3	16
19	3	0
20	3	0
21	3	0
22	3	0
23	3	16
0	4	25
1	4	0
2	4	0
3	4	48
4	4	0
5	4	0
6	4	48
7	4	48
8	4	0
9	4	0
10	4	25
11	4	25
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	18
1	5	88
2	5	0
3	5	34
4	5	18
5	5	18
6	5	49
7	5	49
8	5	0
9	5	0
10	5	18
11	5	18
12	5	0
13	5	34
14	5	0
15	5	18
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	18
0	6	10
1	6	7
2	6	7
3	6	21
4	6	7
5	6	10
6	6	7
7	6	0
8	6	7
9	6	24
10	6	15
11	6	10
12	6	27
13	6	21
14	6	7
15	6	27
16	6	7
17	6	7
18	6	0
19	6	0
20	6	0
21	6	24
22	6	4
23	6	21
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	82
1	8	137
2	8	0
3	8	45
4	8	45
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	45
15	8	0
16	8	137
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	45
23	8	0
0	9	16
1	9	45
2	9	82
3	9	58
4	9	70
5	9	31
6	9	45
7	9	70
8	9	16
9	9	16
10	9	31
11	9	58
12	9	16
13	9	0
14	9	0
15	9	31
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	16
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	31
1	11	23
2	11	42
3	11	22
4	11	21
5	11	17
6	11	20
7	11	25
8	11	34
9	11	25
10	11	41
11	11	25
12	11	30
13	11	29
14	11	44
15	11	32
16	11	15
17	11	11
18	11	8
19	11	4
20	11	3
21	11	5
22	11	8
23	11	13
0	12	66
1	12	35
2	12	28
3	12	27
4	12	32
5	12	27
6	12	25
7	12	27
8	12	32
9	12	52
10	12	69
11	12	49
12	12	39
13	12	37
14	12	32
15	12	17
16	12	8
17	12	4
18	12	3
19	12	2
20	12	2
21	12	5
22	12	27
23	12	61
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	208
11	13	0
12	13	242
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	21
1	14	23
2	14	17
3	14	14
4	14	26
5	14	16
6	14	28
7	14	13
8	14	11
9	14	19
10	14	21
11	14	31
12	14	37
13	14	33
14	14	27
15	14	17
16	14	20
17	14	10
18	14	8
19	14	4
20	14	4
21	14	8
22	14	21
23	14	20
0	15	26
1	15	23
2	15	28
3	15	34
4	15	23
5	15	23
6	15	55
7	15	25
8	15	13
9	15	33
10	15	26
11	15	36
12	15	37
13	15	32
14	15	39
15	15	30
16	15	27
17	15	11
18	15	7
19	15	9
20	15	5
21	15	7
22	15	13
23	15	28
0	16	9
1	16	20
2	16	28
3	16	28
4	16	14
5	16	24
6	16	16
7	16	18
8	16	30
9	16	26
10	16	16
11	16	9
12	16	28
13	16	26
14	16	22
15	16	51
16	16	22
17	16	14
18	16	7
19	16	5
20	16	5
21	16	5
22	16	5
23	16	20
0	17	0
1	17	0
2	17	0
3	17	68
4	17	0
5	17	137
6	17	37
7	17	118
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	17
1	18	21
2	18	26
3	18	34
4	18	24
5	18	42
6	18	22
7	18	28
8	18	17
9	18	17
10	18	30
11	18	41
12	18	37
13	18	22
14	18	21
15	18	21
16	18	24
17	18	11
18	18	19
19	18	19
20	18	15
21	18	13
22	18	11
23	18	21
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	103
9	19	103
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	201
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	0
1	20	0
2	20	0
3	20	223
4	20	40
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	160
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	123
13	21	72
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	132
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	58
1	23	38
2	23	30
3	23	28
4	23	30
5	23	27
6	23	25
7	23	24
8	23	25
9	23	44
10	23	53
11	23	39
12	23	33
13	23	32
14	23	28
15	23	20
16	23	12
17	23	7
18	23	5
19	23	3
20	23	3
21	23	7
22	23	29
23	23	64
0	24	18
1	24	17
2	24	22
3	24	22
4	24	24
5	24	22
6	24	20
7	24	18
8	24	30
9	24	27
10	24	25
11	24	26
12	24	27
13	24	30
14	24	32
15	24	29
16	24	20
17	24	13
18	24	7
19	24	5
20	24	4
21	24	4
22	24	10
23	24	26
0	25	0
1	25	0
2	25	112
3	25	0
4	25	0
5	25	0
6	25	0
7	25	0
8	25	0
9	25	0
10	25	0
11	25	0
12	25	0
13	25	0
14	25	0
15	25	0
16	25	0
17	25	0
18	25	0
19	25	0
20	25	0
21	25	0
22	25	0
23	25	0
0	26	28
1	26	15
2	26	15
3	26	61
4	26	10
5	26	19
6	26	95
7	26	57
8	26	41
9	26	15
10	26	19
11	26	15
12	26	15
13	26	24
14	26	19
15	26	0
16	26	5
17	26	0
18	26	24
19	26	0
20	26	0
21	26	0
22	26	5
23	26	15
0	27	15
1	27	31
2	27	32
3	27	34
4	27	38
5	27	31
6	27	51
7	27	52
8	27	71
9	27	50
10	27	37
11	27	34
12	27	23
13	27	34
14	27	11
15	27	15
16	27	9
17	27	9
18	27	11
19	27	0
20	27	0
21	27	0
22	27	58
23	27	32
0	28	0
1	28	0
2	28	0
3	28	0
4	28	0
5	28	0
6	28	0
7	28	0
8	28	0
9	28	0
10	28	0
11	28	0
12	28	0
13	28	0
14	28	0
15	28	0
16	28	0
17	28	0
18	28	0
19	28	0
20	28	0
21	28	0
22	28	0
23	28	0
0	29	51
1	29	35
2	29	13
3	29	37
4	29	23
5	29	20
6	29	32
7	29	26
8	29	37
9	29	29
10	29	23
11	29	26
12	29	23
13	29	26
14	29	26
15	29	26
16	29	10
17	29	0
18	29	4
19	29	10
20	29	37
21	29	62
22	29	43
23	29	62
0	30	16
1	30	0
2	30	26
3	30	16
4	30	54
5	30	21
6	30	11
7	30	0
8	30	11
9	30	58
10	30	118
11	30	49
12	30	16
13	30	40
14	30	0
15	30	0
16	30	26
17	30	0
18	30	0
19	30	0
20	30	0
21	30	0
22	30	6
23	30	124
0	31	0
1	31	26
2	31	69
3	31	26
4	31	119
5	31	69
6	31	69
7	31	26
8	31	0
9	31	0
10	31	26
11	31	49
12	31	69
13	31	26
14	31	0
15	31	26
16	31	26
17	31	26
18	31	26
19	31	0
20	31	0
21	31	26
22	31	49
23	31	0
