Counts for Samsung(12) in Thailand(45):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	253
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	45
3	1	45
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	45
13	1	0
14	1	0
15	1	0
16	1	45
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	11
1	2	21
2	2	21
3	2	0
4	2	0
5	2	0
6	2	11
7	2	11
8	2	0
9	2	11
10	2	0
11	2	11
12	2	0
13	2	21
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	45
9	3	0
10	3	0
11	3	0
12	3	0
13	3	45
14	3	112
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	29
1	4	12
2	4	6
3	4	18
4	4	12
5	4	34
6	4	49
7	4	44
8	4	23
9	4	44
10	4	29
11	4	29
12	4	23
13	4	18
14	4	12
15	4	18
16	4	18
17	4	6
18	4	0
19	4	0
20	4	23
21	4	0
22	4	0
23	4	6
0	5	0
1	5	34
2	5	34
3	5	34
4	5	0
5	5	63
6	5	0
7	5	0
8	5	34
9	5	34
10	5	0
11	5	0
12	5	63
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	40
1	6	21
2	6	0
3	6	21
4	6	0
5	6	40
6	6	40
7	6	0
8	6	0
9	6	21
10	6	0
11	6	40
12	6	0
13	6	0
14	6	21
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	43
3	7	0
4	7	0
5	7	0
6	7	0
7	7	43
8	7	0
9	7	43
10	7	0
11	7	0
12	7	43
13	7	0
14	7	0
15	7	0
16	7	43
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	247
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	21
4	9	21
5	9	0
6	9	0
7	9	21
8	9	39
9	9	0
10	9	112
11	9	72
12	9	0
13	9	56
14	9	21
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	19
2	10	19
3	10	36
4	10	19
5	10	52
6	10	19
7	10	19
8	10	52
9	10	19
10	10	36
11	10	0
12	10	19
13	10	19
14	10	36
15	10	36
16	10	0
17	10	19
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	30
2	11	0
3	11	0
4	11	30
5	11	98
6	11	30
7	11	30
8	11	0
9	11	30
10	11	116
11	11	78
12	11	30
13	11	0
14	11	0
15	11	0
16	11	30
17	11	0
18	11	0
19	11	0
20	11	0
21	11	55
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	11
1	13	12
2	13	15
3	13	18
4	13	20
5	13	22
6	13	21
7	13	22
8	13	21
9	13	21
10	13	22
11	13	22
12	13	20
13	13	18
14	13	16
15	13	14
16	13	11
17	13	7
18	13	4
19	13	3
20	13	2
21	13	2
22	13	3
23	13	6
0	14	37
1	14	37
2	14	0
3	14	0
4	14	37
5	14	0
6	14	37
7	14	0
8	14	37
9	14	37
10	14	0
11	14	37
12	14	37
13	14	0
14	14	37
15	14	68
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	17
1	15	12
2	15	74
3	15	66
4	15	52
5	15	6
6	15	43
7	15	61
8	15	74
9	15	48
10	15	23
11	15	17
12	15	0
13	15	12
14	15	6
15	15	0
16	15	0
17	15	6
18	15	6
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	21
1	16	21
2	16	40
3	16	88
4	16	21
5	16	0
6	16	21
7	16	40
8	16	0
9	16	21
10	16	40
11	16	73
12	16	21
13	16	21
14	16	88
15	16	57
16	16	40
17	16	21
18	16	0
19	16	40
20	16	0
21	16	0
22	16	0
23	16	0
0	17	0
1	17	57
2	17	21
3	17	40
4	17	40
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	21
11	17	40
12	17	73
13	17	57
14	17	0
15	17	0
16	17	21
17	17	0
18	17	0
19	17	0
20	17	21
21	17	0
22	17	0
23	17	0
0	18	72
1	18	0
2	18	0
3	18	0
4	18	72
5	18	0
6	18	0
7	18	0
8	18	0
9	18	72
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	51
12	19	0
13	19	51
14	19	123
15	19	51
16	19	0
17	19	51
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	8
1	20	16
2	20	0
3	20	16
4	20	0
5	20	8
6	20	23
7	20	23
8	20	8
9	20	16
10	20	50
11	20	8
12	20	30
13	20	68
14	20	44
15	20	16
16	20	8
17	20	8
18	20	8
19	20	8
20	20	8
21	20	8
22	20	8
23	20	0
0	21	0
1	21	0
2	21	0
3	21	43
4	21	0
5	21	0
6	21	43
7	21	0
8	21	0
9	21	43
10	21	43
11	21	43
12	21	0
13	21	0
14	21	43
15	21	0
16	21	0
17	21	0
18	21	43
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	2
1	22	6
2	22	7
3	22	10
4	22	10
5	22	7
6	22	8
7	22	15
8	22	9
9	22	13
10	22	13
11	22	15
12	22	16
13	22	10
14	22	14
15	22	11
16	22	15
17	22	6
18	22	7
19	22	0
20	22	0
21	22	1
22	22	2
23	22	10
0	23	0
1	23	60
2	23	0
3	23	60
4	23	0
5	23	0
6	23	0
7	23	32
8	23	0
9	23	32
10	23	32
11	23	0
12	23	105
13	23	60
14	23	60
15	23	32
