Counts for Apple(2) in Thailand(45):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	112
3	1	0
4	1	45
5	1	0
6	1	82
7	1	0
8	1	82
9	1	0
10	1	45
11	1	0
12	1	0
13	1	45
14	1	45
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	65
1	2	88
2	2	65
3	2	81
4	2	31
5	2	81
6	2	65
7	2	49
8	2	88
9	2	57
10	2	31
11	2	0
12	2	49
13	2	65
14	2	49
15	2	31
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	11
0	3	0
1	3	0
2	3	0
3	3	0
4	3	137
5	3	45
6	3	0
7	3	112
8	3	137
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	45
15	3	45
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	6
1	4	23
2	4	6
3	4	6
4	4	23
5	4	23
6	4	23
7	4	18
8	4	49
9	4	23
10	4	6
11	4	39
12	4	34
13	4	23
14	4	23
15	4	12
16	4	34
17	4	39
18	4	6
19	4	12
20	4	6
21	4	6
22	4	18
23	4	12
0	5	34
1	5	0
2	5	34
3	5	34
4	5	34
5	5	0
6	5	63
7	5	63
8	5	88
9	5	0
10	5	34
11	5	34
12	5	0
13	5	0
14	5	0
15	5	0
16	5	34
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	21
1	6	40
2	6	21
3	6	21
4	6	0
5	6	0
6	6	74
7	6	0
8	6	58
9	6	21
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	21
16	6	0
17	6	0
18	6	0
19	6	21
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	215
11	7	0
12	7	0
13	7	0
14	7	43
15	7	0
16	7	79
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	175
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	39
1	9	0
2	9	56
3	9	0
4	9	21
5	9	21
6	9	0
7	9	39
8	9	0
9	9	0
10	9	21
11	9	39
12	9	39
13	9	39
14	9	0
15	9	21
16	9	39
17	9	21
18	9	21
19	9	21
20	9	0
21	9	0
22	9	0
23	9	21
0	10	0
1	10	0
2	10	0
3	10	0
4	10	36
5	10	19
6	10	19
7	10	36
8	10	52
9	10	52
10	10	52
11	10	67
12	10	52
13	10	0
14	10	19
15	10	19
16	10	19
17	10	36
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	55
4	11	30
5	11	0
6	11	30
7	11	30
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	30
15	11	0
16	11	0
17	11	30
18	11	30
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	253
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	18
1	13	23
2	13	29
3	13	35
4	13	39
5	13	42
6	13	43
7	13	43
8	13	42
9	13	43
10	13	46
11	13	45
12	13	39
13	13	33
14	13	28
15	13	26
16	13	22
17	13	14
18	13	9
19	13	5
20	13	3
21	13	4
22	13	4
23	13	9
0	14	0
1	14	0
2	14	0
3	14	37
4	14	68
5	14	37
6	14	37
7	14	0
8	14	37
9	14	37
10	14	0
11	14	68
12	14	0
13	14	37
14	14	68
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	37
0	15	28
1	15	17
2	15	17
3	15	12
4	15	12
5	15	12
6	15	12
7	15	12
8	15	23
9	15	38
10	15	23
11	15	23
12	15	0
13	15	12
14	15	6
15	15	0
16	15	0
17	15	0
18	15	0
19	15	6
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	57
4	16	0
5	16	57
6	16	0
7	16	40
8	16	0
9	16	0
10	16	0
11	16	21
12	16	21
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	40
3	17	0
4	17	21
5	17	21
6	17	0
7	17	40
8	17	40
9	17	21
10	17	0
11	17	0
12	17	0
13	17	40
14	17	40
15	17	57
16	17	0
17	17	57
18	17	21
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	72
6	18	0
7	18	0
8	18	72
9	18	160
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	72
16	18	72
17	18	72
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	51
3	19	0
4	19	0
5	19	0
6	19	0
7	19	51
8	19	0
9	19	51
10	19	51
11	19	91
12	19	51
13	19	51
14	19	91
15	19	0
16	19	51
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	8
1	20	37
2	20	16
3	20	0
4	20	23
5	20	8
6	20	30
7	20	16
8	20	16
9	20	37
10	20	16
11	20	44
12	20	68
13	20	23
14	20	0
15	20	8
16	20	16
17	20	23
18	20	0
19	20	0
20	20	0
21	20	8
22	20	0
23	20	8
0	21	43
1	21	0
2	21	0
3	21	43
4	21	0
5	21	43
6	21	43
7	21	0
8	21	0
9	21	0
10	21	79
11	21	0
12	21	43
13	21	43
14	21	43
15	21	43
16	21	109
17	21	0
18	21	79
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	34
1	22	32
2	22	32
3	22	23
4	22	32
5	22	36
6	22	30
7	22	34
8	22	37
9	22	38
10	22	45
11	22	26
12	22	23
13	22	24
14	22	18
15	22	13
16	22	12
17	22	34
18	22	45
19	22	42
20	22	36
21	22	34
22	22	30
23	22	34
0	23	32
1	23	0
2	23	32
3	23	0
4	23	32
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	32
14	23	0
15	23	0
