Counts for Samsung(12) in United Arab Emirates(47):
Hour	Location Index	Count
0	0	5
1	0	5
2	0	8
3	0	10
4	0	12
5	0	13
6	0	16
7	0	17
8	0	18
9	0	20
10	0	20
11	0	20
12	0	18
13	0	18
14	0	19
15	0	20
16	0	21
17	0	23
18	0	25
19	0	22
20	0	20
21	0	16
22	0	11
23	0	8
0	1	6
1	1	6
2	1	8
3	1	10
4	1	13
5	1	15
6	1	17
7	1	19
8	1	21
9	1	23
10	1	25
11	1	23
12	1	21
13	1	20
14	1	21
15	1	23
16	1	24
17	1	25
18	1	27
19	1	26
20	1	22
21	1	20
22	1	14
23	1	7
0	2	4
1	2	4
2	2	5
3	2	9
4	2	12
5	2	15
6	2	13
7	2	22
8	2	25
9	2	32
10	2	27
11	2	26
12	2	18
13	2	11
14	2	24
15	2	22
16	2	21
17	2	25
18	2	32
19	2	26
20	2	27
21	2	25
22	2	17
23	2	10
0	3	5
1	3	5
2	3	8
3	3	11
4	3	12
5	3	14
6	3	15
7	3	17
8	3	17
9	3	19
10	3	20
11	3	19
12	3	19
13	3	19
14	3	18
15	3	20
16	3	22
17	3	24
18	3	27
19	3	23
20	3	21
21	3	17
22	3	11
23	3	8
0	4	8
1	4	0
2	4	8
3	4	21
4	4	0
5	4	15
6	4	21
7	4	8
8	4	0
9	4	0
10	4	28
11	4	21
12	4	21
13	4	0
14	4	40
15	4	28
16	4	8
17	4	21
18	4	28
19	4	34
20	4	58
21	4	15
22	4	21
23	4	8
0	5	5
1	5	5
2	5	8
3	5	10
4	5	11
5	5	13
6	5	15
7	5	17
8	5	17
9	5	19
10	5	19
11	5	18
12	5	17
13	5	16
14	5	17
15	5	19
16	5	20
17	5	22
18	5	23
19	5	21
20	5	18
21	5	15
22	5	11
23	5	7
0	6	6
1	6	5
2	6	8
3	6	8
4	6	12
5	6	12
6	6	16
7	6	18
8	6	16
9	6	23
10	6	21
11	6	21
12	6	22
13	6	18
14	6	18
15	6	21
16	6	20
17	6	24
18	6	27
19	6	24
20	6	27
21	6	19
22	6	14
23	6	10
0	7	4
1	7	2
2	7	6
3	7	5
4	7	8
5	7	13
6	7	13
7	7	15
8	7	11
9	7	27
10	7	27
11	7	17
12	7	12
13	7	11
14	7	18
15	7	23
16	7	18
17	7	29
18	7	20
19	7	23
20	7	17
21	7	13
22	7	10
23	7	6
0	8	0
1	8	9
2	8	9
3	8	9
4	8	0
5	8	9
6	8	9
7	8	9
8	8	46
9	8	17
10	8	0
11	8	0
12	8	9
13	8	0
14	8	0
15	8	9
16	8	0
17	8	17
18	8	9
19	8	0
20	8	0
21	8	9
22	8	0
23	8	0
0	9	10
1	9	0
2	9	0
3	9	20
4	9	37
5	9	54
6	9	20
7	9	29
8	9	10
9	9	29
10	9	10
11	9	10
12	9	20
13	9	0
14	9	10
15	9	10
16	9	10
17	9	46
18	9	46
19	9	37
20	9	20
21	9	20
22	9	10
23	9	0
0	10	6
1	10	5
2	10	5
3	10	9
4	10	11
5	10	21
6	10	19
7	10	25
8	10	22
9	10	26
10	10	23
11	10	26
12	10	17
13	10	22
14	10	19
15	10	22
16	10	22
17	10	26
18	10	21
19	10	21
20	10	21
21	10	10
22	10	9
23	10	7
