Counts for Apple(2) in United Arab Emirates(47):
Hour	Location Index	Count
0	0	6
1	0	7
2	0	12
3	0	16
4	0	19
5	0	22
6	0	24
7	0	25
8	0	24
9	0	25
10	0	26
11	0	26
12	0	27
13	0	25
14	0	28
15	0	31
16	0	33
17	0	36
18	0	35
19	0	30
20	0	24
21	0	18
22	0	12
23	0	8
0	1	6
1	1	6
2	1	8
3	1	11
4	1	13
5	1	16
6	1	19
7	1	20
8	1	20
9	1	25
10	1	22
11	1	23
12	1	23
13	1	23
14	1	23
15	1	26
16	1	27
17	1	29
18	1	29
19	1	26
20	1	23
21	1	17
22	1	11
23	1	8
0	2	6
1	2	6
2	2	5
3	2	7
4	2	15
5	2	17
6	2	17
7	2	11
8	2	22
9	2	22
10	2	24
11	2	23
12	2	25
13	2	26
14	2	22
15	2	20
16	2	19
17	2	27
18	2	36
19	2	27
20	2	27
21	2	20
22	2	11
23	2	5
0	3	6
1	3	7
2	3	12
3	3	16
4	3	18
5	3	21
6	3	22
7	3	24
8	3	24
9	3	26
10	3	27
11	3	26
12	3	28
13	3	26
14	3	28
15	3	32
16	3	34
17	3	36
18	3	38
19	3	32
20	3	26
21	3	18
22	3	12
23	3	8
0	4	0
1	4	0
2	4	21
3	4	8
4	4	0
5	4	0
6	4	21
7	4	0
8	4	8
9	4	40
10	4	40
11	4	28
12	4	21
13	4	8
14	4	15
15	4	28
16	4	15
17	4	28
18	4	21
19	4	21
20	4	34
21	4	21
22	4	8
23	4	21
0	5	7
1	5	7
2	5	11
3	5	15
4	5	19
5	5	22
6	5	24
7	5	26
8	5	26
9	5	28
10	5	27
11	5	27
12	5	27
13	5	26
14	5	27
15	5	32
16	5	34
17	5	37
18	5	37
19	5	32
20	5	26
21	5	20
22	5	13
23	5	9
0	6	6
1	6	6
2	6	7
3	6	9
4	6	14
5	6	17
6	6	19
7	6	20
8	6	20
9	6	22
10	6	25
11	6	27
12	6	27
13	6	23
14	6	22
15	6	27
16	6	28
17	6	30
18	6	34
19	6	31
20	6	28
21	6	22
22	6	15
23	6	8
0	7	9
1	7	6
2	7	9
3	7	10
4	7	24
5	7	24
6	7	22
7	7	24
8	7	32
9	7	23
10	7	28
11	7	32
12	7	29
13	7	28
14	7	34
15	7	27
16	7	45
17	7	41
18	7	33
19	7	35
20	7	22
21	7	19
22	7	10
23	7	11
0	8	60
1	8	39
2	8	60
3	8	39
4	8	46
5	8	0
6	8	46
7	8	39
8	8	39
9	8	39
10	8	9
11	8	17
12	8	60
13	8	46
14	8	32
15	8	24
16	8	39
17	8	24
18	8	53
19	8	32
20	8	39
21	8	9
22	8	46
23	8	32
0	9	0
1	9	10
2	9	10
3	9	20
4	9	29
5	9	29
6	9	10
7	9	10
8	9	10
9	9	61
10	9	10
11	9	10
12	9	29
13	9	10
14	9	10
15	9	83
16	9	29
17	9	20
18	9	20
19	9	46
20	9	10
21	9	20
22	9	0
23	9	20
0	10	3
1	10	3
2	10	3
3	10	10
4	10	22
5	10	27
6	10	35
7	10	33
8	10	33
9	10	26
10	10	26
11	10	25
12	10	21
13	10	15
14	10	20
15	10	23
16	10	26
17	10	33
18	10	25
19	10	22
20	10	19
21	10	13
22	10	8
23	10	4
