Counts for Lenovo(7) in United Arab Emirates(47):
Hour	Location Index	Count
0	0	1
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
17	0	1
18	0	2
19	0	1
20	0	1
21	0	1
22	0	1
23	0	1
0	1	1
1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	2
11	1	1
12	1	1
13	1	1
14	1	1
15	1	2
16	1	1
17	1	2
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
0	2	0
1	2	1
2	2	1
3	2	1
4	2	0
5	2	0
6	2	1
7	2	1
8	2	0
9	2	0
10	2	0
11	2	0
12	2	1
13	2	1
14	2	1
15	2	1
16	2	1
17	2	1
18	2	2
19	2	2
20	2	1
21	2	1
22	2	3
23	2	0
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	2
10	3	1
11	3	2
12	3	1
13	3	1
14	3	1
15	3	2
16	3	2
17	3	2
18	3	2
19	3	2
20	3	2
21	3	1
22	3	1
23	3	1
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	8
15	4	8
16	4	0
17	4	0
18	4	0
19	4	21
20	4	0
21	4	0
22	4	0
23	4	0
0	5	1
1	5	1
2	5	1
3	5	1
4	5	1
5	5	1
6	5	1
7	5	1
8	5	1
9	5	1
10	5	1
11	5	1
12	5	1
13	5	1
14	5	1
15	5	1
16	5	2
17	5	1
18	5	2
19	5	1
20	5	1
21	5	1
22	5	1
23	5	1
0	6	1
1	6	1
2	6	1
3	6	2
4	6	1
5	6	2
6	6	2
7	6	2
8	6	2
9	6	1
10	6	1
11	6	2
12	6	1
13	6	1
14	6	2
15	6	1
16	6	2
17	6	2
18	6	2
19	6	2
20	6	1
21	6	1
22	6	2
23	6	1
0	7	0
1	7	0
2	7	0
3	7	3
4	7	0
5	7	1
6	7	0
7	7	0
8	7	1
9	7	0
10	7	1
11	7	0
12	7	2
13	7	2
14	7	1
15	7	2
16	7	1
17	7	2
18	7	1
19	7	2
20	7	2
21	7	1
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	9
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	10
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	1
2	10	1
3	10	1
4	10	1
5	10	1
6	10	1
7	10	1
8	10	1
9	10	1
10	10	1
11	10	2
12	10	1
13	10	2
14	10	1
15	10	1
16	10	0
17	10	1
18	10	1
19	10	0
20	10	1
21	10	1
22	10	1
23	10	0
