Counts for Samsung(12) in United Kingdom(48):
Hour	Location Index	Count
0	0	1
1	0	2
2	0	1
3	0	2
4	0	0
5	0	3
6	0	12
7	0	8
8	0	15
9	0	8
10	0	9
11	0	8
12	0	12
13	0	10
14	0	9
15	0	9
16	0	17
17	0	14
18	0	14
19	0	14
20	0	17
21	0	14
22	0	6
23	0	6
0	1	0
1	1	0
2	1	3
3	1	0
4	1	0
5	1	0
6	1	0
7	1	17
8	1	26
9	1	10
10	1	3
11	1	12
12	1	10
13	1	3
14	1	0
15	1	15
16	1	3
17	1	15
18	1	34
19	1	5
20	1	24
21	1	8
22	1	8
23	1	5
0	2	11
1	2	11
2	2	0
3	2	3
4	2	3
5	2	3
6	2	16
7	2	14
8	2	26
9	2	14
10	2	26
11	2	31
12	2	21
13	2	28
14	2	16
15	2	6
16	2	3
17	2	14
18	2	33
19	2	19
20	2	16
21	2	14
22	2	14
23	2	6
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	13
8	3	7
9	3	0
10	3	4
11	3	0
12	3	10
13	3	10
14	3	4
15	3	7
16	3	4
17	3	19
18	3	4
19	3	7
20	3	13
21	3	4
22	3	0
23	3	0
0	4	1
1	4	0
2	4	1
3	4	1
4	4	4
5	4	5
6	4	4
7	4	7
8	4	14
9	4	15
10	4	3
11	4	19
12	4	24
13	4	14
14	4	19
15	4	11
16	4	19
17	4	15
18	4	19
19	4	24
20	4	17
21	4	35
22	4	24
23	4	9
0	5	2
1	5	1
2	5	2
3	5	2
4	5	2
5	5	8
6	5	9
7	5	10
8	5	11
9	5	7
10	5	10
11	5	8
12	5	10
13	5	13
14	5	8
15	5	13
16	5	7
17	5	24
18	5	16
19	5	22
20	5	13
21	5	14
22	5	14
23	5	7
0	6	5
1	6	2
2	6	0
3	6	0
4	6	2
5	6	2
6	6	4
7	6	10
8	6	5
9	6	7
10	6	8
11	6	9
12	6	9
13	6	14
14	6	8
15	6	13
16	6	13
17	6	11
18	6	15
19	6	17
20	6	14
21	6	10
22	6	7
23	6	3
0	7	0
1	7	0
2	7	0
3	7	3
4	7	0
5	7	3
6	7	15
7	7	0
8	7	6
9	7	15
10	7	12
11	7	15
12	7	18
13	7	18
14	7	9
15	7	9
16	7	12
17	7	29
18	7	18
19	7	12
20	7	29
21	7	12
22	7	12
23	7	0
0	8	1
1	8	1
2	8	3
3	8	1
4	8	2
5	8	5
6	8	7
7	8	7
8	8	9
9	8	14
10	8	10
11	8	10
12	8	12
13	8	10
14	8	17
15	8	19
16	8	15
17	8	23
18	8	21
19	8	20
20	8	19
21	8	24
22	8	13
23	8	6
0	9	2
1	9	0
2	9	0
3	9	0
4	9	0
5	9	4
6	9	6
7	9	2
8	9	6
9	9	13
10	9	2
11	9	2
12	9	2
13	9	8
14	9	15
15	9	2
16	9	9
17	9	8
18	9	13
19	9	6
20	9	13
21	9	23
22	9	2
23	9	4
0	10	4
1	10	2
2	10	6
3	10	0
4	10	6
5	10	0
