Counts for Apple(2) in United Kingdom(48):
Hour	Location Index	Count
0	0	6
1	0	4
2	0	2
3	0	0
4	0	4
5	0	14
6	0	22
7	0	27
8	0	31
9	0	39
10	0	41
11	0	32
12	0	33
13	0	34
14	0	27
15	0	52
16	0	48
17	0	46
18	0	59
19	0	68
20	0	72
21	0	52
22	0	28
23	0	11
0	1	19
1	1	5
2	1	12
3	1	0
4	1	3
5	1	15
6	1	15
7	1	28
8	1	32
9	1	19
10	1	34
11	1	45
12	1	47
13	1	30
14	1	17
15	1	51
16	1	43
17	1	60
18	1	67
19	1	69
20	1	56
21	1	80
22	1	47
23	1	21
0	2	16
1	2	8
2	2	3
3	2	3
4	2	0
5	2	19
6	2	23
7	2	26
8	2	38
9	2	28
10	2	49
11	2	28
12	2	28
13	2	8
14	2	23
15	2	26
16	2	23
17	2	21
18	2	55
19	2	35
20	2	49
21	2	65
22	2	19
23	2	19
0	3	4
1	3	0
2	3	0
3	3	4
4	3	0
5	3	10
6	3	28
7	3	34
8	3	28
9	3	28
10	3	28
11	3	34
12	3	42
13	3	39
14	3	45
15	3	53
16	3	48
17	3	37
18	3	68
19	3	72
20	3	96
21	3	53
22	3	37
23	3	4
0	4	6
1	4	5
2	4	1
3	4	1
4	4	1
5	4	9
6	4	22
7	4	35
8	4	35
9	4	26
10	4	27
11	4	33
12	4	31
13	4	37
14	4	27
15	4	47
16	4	41
17	4	41
18	4	45
19	4	70
20	4	60
21	4	41
22	4	34
23	4	11
0	5	7
1	5	4
2	5	3
3	5	3
4	5	7
5	5	12
6	5	24
7	5	30
8	5	36
9	5	38
10	5	34
11	5	32
12	5	34
13	5	34
14	5	30
15	5	28
16	5	54
17	5	51
18	5	61
19	5	65
20	5	64
21	5	51
22	5	39
23	5	17
0	6	8
1	6	5
2	6	3
3	6	1
4	6	4
5	6	11
6	6	23
7	6	30
8	6	43
9	6	39
10	6	40
11	6	37
12	6	37
13	6	35
14	6	36
15	6	39
16	6	52
17	6	54
18	6	53
19	6	64
20	6	57
21	6	45
22	6	25
23	6	19
0	7	0
1	7	3
2	7	6
3	7	6
4	7	0
5	7	3
6	7	21
7	7	44
8	7	39
9	7	47
10	7	34
11	7	32
12	7	29
13	7	29
14	7	37
15	7	52
16	7	54
17	7	68
18	7	59
19	7	49
20	7	42
21	7	44
22	7	21
23	7	9
0	8	10
1	8	7
2	8	8
3	8	3
4	8	5
5	8	11
6	8	9
7	8	24
8	8	31
9	8	30
10	8	35
11	8	30
12	8	26
13	8	27
14	8	27
15	8	45
16	8	45
17	8	38
18	8	42
19	8	60
20	8	58
21	8	46
22	8	39
23	8	20
0	9	4
1	9	11
2	9	2
3	9	4
4	9	0
5	9	2
6	9	31
7	9	30
8	9	38
9	9	34
10	9	39
11	9	39
12	9	16
13	9	34
14	9	38
15	9	44
16	9	44
17	9	51
18	9	73
19	9	48
20	9	61
21	9	72
22	9	45
23	9	25
0	10	14
1	10	2
2	10	0
3	10	0
4	10	2
5	10	9
6	10	24
7	10	25
8	10	25
9	10	32
10	10	29
11	10	33
12	10	33
13	10	56
14	10	33
15	10	39
16	10	41
17	10	45
18	10	60
19	10	60
20	10	71
21	10	46
22	10	41
23	10	12
0	11	10
1	11	11
2	11	4
3	11	4
4	11	6
5	11	10
6	11	23
7	11	28
8	11	26
9	11	44
10	11	41
11	11	34
12	11	33
13	11	36
14	11	36
15	11	45
16	11	51
17	11	51
18	11	60
19	11	56
20	11	64
21	11	59
22	11	42
23	11	23
0	12	4
1	12	4
2	12	4
3	12	0
4	12	0
5	12	7
6	12	33
7	12	33
8	12	42
9	12	50
10	12	30
11	12	21
12	12	24
13	12	30
14	12	42
15	12	48
16	12	48
17	12	61
18	12	36
19	12	67
20	12	33
21	12	61
22	12	11
23	12	11
0	13	11
1	13	7
2	13	5
3	13	3
4	13	4
5	13	6
6	13	18
7	13	25
8	13	27
9	13	36
10	13	30
11	13	32
12	13	30
13	13	32
14	13	34
15	13	39
16	13	42
17	13	40
18	13	48
19	13	56
20	13	54
21	13	47
22	13	33
23	13	22
0	14	10
1	14	6
2	14	4
3	14	4
4	14	6
5	14	14
6	14	29
7	14	34
8	14	39
9	14	41
10	14	36
11	14	37
12	14	39
13	14	38
14	14	38
15	14	43
16	14	47
17	14	52
18	14	58
19	14	63
20	14	67
21	14	61
22	14	40
23	14	22
0	15	8
1	15	5
2	15	4
3	15	2
4	15	4
5	15	11
6	15	21
7	15	28
8	15	28
9	15	42
10	15	33
11	15	32
12	15	27
13	15	31
14	15	31
15	15	41
16	15	39
17	15	48
18	15	53
19	15	63
20	15	66
21	15	59
22	15	38
23	15	18
0	16	10
1	16	8
2	16	7
3	16	3
4	16	12
5	16	6
6	16	22
7	16	29
8	16	40
9	16	34
10	16	36
11	16	34
12	16	25
13	16	36
14	16	34
15	16	48
16	16	46
17	16	44
18	16	52
19	16	53
20	16	64
21	16	39
22	16	34
23	16	28
0	17	33
1	17	3
2	17	3
3	17	2
4	17	3
5	17	12
6	17	29
7	17	31
8	17	27
9	17	51
10	17	46
11	17	45
12	17	43
13	17	18
14	17	28
15	17	34
16	17	46
17	17	35
18	17	64
19	17	70
20	17	57
21	17	58
22	17	55
23	17	45
0	18	10
1	18	7
2	18	6
3	18	4
4	18	5
5	18	9
6	18	23
7	18	27
8	18	31
9	18	34
10	18	30
11	18	32
12	18	32
13	18	31
14	18	34
15	18	39
16	18	45
17	18	50
18	18	52
19	18	54
20	18	53
21	18	47
22	18	32
23	18	19
0	19	6
1	19	5
2	19	5
3	19	6
4	19	7
5	19	16
6	19	21
7	19	25
8	19	21
9	19	12
10	19	19
11	19	23
12	19	29
13	19	39
14	19	23
15	19	24
16	19	32
17	19	64
18	19	70
19	19	62
20	19	59
21	19	53
22	19	38
23	19	21
0	20	10
1	20	5
2	20	4
3	20	4
4	20	5
5	20	7
6	20	17
7	20	30
8	20	30
9	20	31
10	20	30
11	20	33
12	20	29
13	20	30
14	20	33
15	20	37
16	20	41
17	20	47
18	20	51
19	20	56
20	20	62
21	20	53
22	20	39
23	20	18
0	21	10
1	21	9
2	21	8
3	21	1
4	21	3
5	21	10
6	21	15
7	21	27
8	21	43
9	21	38
10	21	31
11	21	32
12	21	44
13	21	44
14	21	39
15	21	38
16	21	42
17	21	43
18	21	57
19	21	58
20	21	58
21	21	63
22	21	38
23	21	19
0	22	6
1	22	6
2	22	1
3	22	4
4	22	6
5	22	17
6	22	20
7	22	36
8	22	38
9	22	41
10	22	46
11	22	40
12	22	32
13	22	41
14	22	33
15	22	36
16	22	48
17	22	56
18	22	68
19	22	70
20	22	57
21	22	62
22	22	34
23	22	19
0	23	7
1	23	4
2	23	3
3	23	3
4	23	4
5	23	14
6	23	32
7	23	34
8	23	41
9	23	39
10	23	38
11	23	37
12	23	39
13	23	43
14	23	39
15	23	47
16	23	52
17	23	46
18	23	58
19	23	61
20	23	61
21	23	57
22	23	34
23	23	18
0	24	10
1	24	5
2	24	3
3	24	3
4	24	3
5	24	10
6	24	22
7	24	35
8	24	38
9	24	36
10	24	32
11	24	31
12	24	38
13	24	36
14	24	34
15	24	40
16	24	44
17	24	47
18	24	54
19	24	59
20	24	69
21	24	62
22	24	42
23	24	20
0	25	14
1	25	8
2	25	5
3	25	5
4	25	5
5	25	15
6	25	29
7	25	33
8	25	35
9	25	36
10	25	34
11	25	34
12	25	32
13	25	33
14	25	31
15	25	38
16	25	47
17	25	50
18	25	55
19	25	64
20	25	64
21	25	67
22	25	46
23	25	28
0	26	9
1	26	6
2	26	3
3	26	3
4	26	6
5	26	11
6	26	23
7	26	33
8	26	38
9	26	32
10	26	33
11	26	30
12	26	38
13	26	34
14	26	30
15	26	41
16	26	49
17	26	49
18	26	54
19	26	57
20	26	60
21	26	50
22	26	37
23	26	21
0	27	18
1	27	12
2	27	8
3	27	4
4	27	5
5	27	10
6	27	17
7	27	23
8	27	30
9	27	38
10	27	33
11	27	44
12	27	44
13	27	40
14	27	36
15	27	43
16	27	48
17	27	46
18	27	53
19	27	56
20	27	52
21	27	48
22	27	39
23	27	28
0	28	11
1	28	7
2	28	6
3	28	3
4	28	4
5	28	9
6	28	20
7	28	27
8	28	35
9	28	33
10	28	35
11	28	30
12	28	31
13	28	27
14	28	32
15	28	43
16	28	44
17	28	47
18	28	54
19	28	60
20	28	61
21	28	56
22	28	36
23	28	26
0	29	14
1	29	1
2	29	1
3	29	3
4	29	5
5	29	9
6	29	30
7	29	35
8	29	52
9	29	66
10	29	53
11	29	54
12	29	46
13	29	74
14	29	50
15	29	67
16	29	44
17	29	44
18	29	42
19	29	47
20	29	58
21	29	44
22	29	28
23	29	16
0	30	13
1	30	9
2	30	4
3	30	1
4	30	8
5	30	17
6	30	31
7	30	38
8	30	32
9	30	40
10	30	29
11	30	40
12	30	44
13	30	31
14	30	39
15	30	49
16	30	43
17	30	44
18	30	51
19	30	60
20	30	49
21	30	47
22	30	47
