Counts for Apple(2) in Canada(5):
Hour	Location Index	Count
0	0	57
1	0	62
2	0	69
3	0	57
4	0	38
5	0	26
6	0	16
7	0	7
8	0	1
9	0	9
10	0	8
11	0	17
12	0	28
13	0	35
14	0	37
15	0	38
16	0	36
17	0	38
18	0	32
19	0	35
20	0	38
21	0	50
22	0	64
23	0	68
0	1	44
1	1	44
2	1	68
3	1	30
4	1	8
5	1	0
6	1	0
7	1	8
8	1	0
9	1	23
10	1	23
11	1	56
12	1	37
13	1	68
14	1	44
15	1	16
16	1	16
17	1	37
18	1	30
19	1	44
20	1	16
21	1	16
22	1	23
23	1	62
0	2	65
1	2	62
2	2	46
3	2	43
4	2	26
5	2	19
6	2	9
7	2	9
8	2	2
9	2	13
10	2	18
11	2	25
12	2	41
13	2	64
14	2	37
15	2	26
16	2	31
17	2	23
18	2	36
19	2	26
20	2	21
21	2	49
22	2	34
23	2	58
0	3	64
1	3	100
2	3	26
3	3	32
4	3	20
5	3	0
6	3	0
7	3	7
8	3	0
9	3	13
10	3	32
11	3	37
12	3	20
13	3	32
14	3	37
15	3	26
16	3	69
17	3	43
18	3	20
19	3	13
20	3	26
21	3	59
22	3	43
23	3	59
0	4	54
1	4	59
2	4	62
3	4	68
4	4	66
5	4	41
6	4	26
7	4	15
8	4	8
9	4	6
10	4	4
11	4	6
12	4	24
13	4	35
14	4	38
15	4	44
16	4	39
17	4	46
18	4	41
19	4	40
20	4	37
21	4	44
22	4	44
23	4	53
0	5	90
1	5	62
2	5	38
3	5	46
4	5	69
5	5	46
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	10
13	5	20
14	5	29
15	5	54
16	5	38
17	5	38
18	5	54
19	5	0
20	5	29
21	5	10
22	5	62
23	5	10
0	6	54
1	6	54
2	6	64
3	6	60
4	6	62
5	6	36
6	6	16
7	6	11
8	6	5
9	6	3
10	6	2
11	6	6
12	6	17
13	6	30
14	6	44
15	6	49
16	6	53
17	6	40
18	6	45
19	6	39
20	6	43
21	6	44
22	6	47
23	6	53
0	7	56
1	7	59
2	7	53
3	7	39
4	7	23
5	7	15
6	7	17
7	7	3
8	7	6
9	7	8
10	7	14
11	7	32
12	7	39
13	7	42
14	7	36
15	7	35
16	7	29
17	7	32
18	7	34
19	7	35
20	7	41
21	7	46
22	7	46
23	7	44
0	8	59
1	8	48
2	8	46
3	8	29
4	8	22
5	8	16
6	8	10
7	8	4
8	8	5
9	8	7
10	8	16
11	8	31
12	8	32
13	8	41
14	8	36
15	8	32
16	8	30
17	8	36
18	8	35
19	8	36
20	8	43
21	8	46
22	8	47
23	8	46
0	9	52
1	9	60
2	9	57
3	9	67
4	9	57
5	9	18
6	9	19
7	9	4
8	9	10
9	9	4
10	9	4
11	9	9
12	9	23
13	9	36
14	9	36
15	9	48
16	9	34
17	9	40
18	9	28
19	9	36
20	9	42
21	9	34
22	9	41
23	9	45
0	10	62
1	10	55
2	10	34
3	10	21
4	10	11
5	10	6
6	10	4
7	10	4
8	10	9
9	10	13
10	10	33
11	10	39
12	10	37
13	10	40
14	10	43
15	10	36
16	10	32
17	10	36
18	10	48
19	10	45
20	10	52
21	10	51
22	10	54
23	10	62
0	11	51
1	11	91
2	11	72
3	11	51
4	11	0
5	11	27
6	11	0
7	11	0
8	11	0
9	11	0
10	11	27
11	11	27
12	11	51
13	11	72
14	11	27
15	11	51
16	11	0
17	11	0
18	11	27
19	11	0
20	11	51
21	11	108
22	11	51
23	11	51
0	12	41
1	12	44
2	12	47
3	12	53
4	12	57
5	12	56
6	12	40
7	12	28
8	12	18
9	12	12
10	12	8
11	12	7
12	12	9
13	12	18
14	12	24
15	12	31
16	12	34
17	12	33
18	12	32
19	12	29
20	12	29
21	12	28
22	12	33
23	12	41
0	13	42
1	13	42
2	13	42
3	13	42
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	42
12	13	106
13	13	0
14	13	0
15	13	77
16	13	0
17	13	106
18	13	42
19	13	130
20	13	42
21	13	77
22	13	0
23	13	0
0	14	118
1	14	201
2	14	0
3	14	0
4	14	0
5	14	68
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	68
18	14	0
19	14	0
20	14	0
21	14	0
22	14	118
23	14	68
0	15	54
1	15	54
2	15	48
3	15	36
4	15	18
5	15	11
6	15	6
7	15	5
8	15	4
9	15	10
10	15	17
11	15	27
12	15	30
13	15	35
14	15	34
15	15	34
16	15	29
17	15	32
18	15	30
19	15	33
20	15	36
21	15	44
22	15	48
23	15	48
0	16	53
1	16	63
2	16	54
3	16	37
4	16	19
5	16	12
6	16	7
7	16	5
8	16	5
9	16	7
10	16	11
11	16	21
12	16	35
13	16	38
14	16	39
15	16	43
16	16	35
17	16	36
18	16	28
19	16	33
20	16	46
21	16	42
22	16	48
23	16	44
0	17	82
1	17	76
2	17	56
3	17	9
4	17	0
5	17	0
6	17	18
7	17	0
8	17	9
9	17	0
10	17	9
11	17	18
12	17	0
13	17	34
14	17	9
15	17	26
16	17	56
17	17	26
18	17	34
19	17	9
20	17	34
21	17	41
22	17	26
23	17	76
0	18	50
