Counts for Nokia(10) in Vietnam(50):
Hour	Location Index	Count
0	0	8
1	0	9
2	0	11
3	0	11
4	0	8
5	0	9
6	0	7
7	0	9
8	0	9
9	0	8
10	0	10
11	0	8
12	0	10
13	0	10
14	0	7
15	0	4
16	0	2
17	0	1
18	0	1
19	0	1
20	0	1
21	0	1
22	0	2
23	0	5
0	1	8
1	1	8
2	1	8
3	1	8
4	1	10
5	1	12
6	1	9
7	1	7
8	1	7
9	1	7
10	1	8
11	1	9
12	1	10
13	1	9
14	1	9
15	1	8
16	1	5
17	1	3
18	1	2
19	1	1
20	1	1
21	1	1
22	1	3
23	1	6
0	2	2
1	2	3
2	2	4
3	2	4
4	2	5
5	2	5
6	2	7
7	2	4
8	2	3
9	2	3
10	2	4
11	2	5
12	2	7
13	2	6
14	2	6
15	2	6
16	2	4
17	2	4
18	2	2
19	2	2
20	2	1
21	2	1
22	2	2
23	2	3
0	3	7
1	3	5
2	3	9
3	3	8
4	3	6
5	3	7
6	3	6
7	3	6
8	3	5
9	3	6
10	3	5
11	3	5
12	3	5
13	3	8
14	3	11
15	3	6
16	3	8
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	3
23	3	4
0	4	3
1	4	5
2	4	5
3	4	5
4	4	6
5	4	8
6	4	5
7	4	5
8	4	4
9	4	5
10	4	5
11	4	5
12	4	7
13	4	7
14	4	7
15	4	8
16	4	5
17	4	2
18	4	2
19	4	1
20	4	1
21	4	1
22	4	3
23	4	3
0	5	6
1	5	2
2	5	5
3	5	14
4	5	6
5	5	9
6	5	7
7	5	7
8	5	3
9	5	11
10	5	4
11	5	11
12	5	15
13	5	13
14	5	7
15	5	9
16	5	3
17	5	5
18	5	8
19	5	8
20	5	0
21	5	0
22	5	3
23	5	4
0	6	10
1	6	8
2	6	7
3	6	7
4	6	11
5	6	17
6	6	10
7	6	8
8	6	7
9	6	5
10	6	8
11	6	10
12	6	7
13	6	11
14	6	8
15	6	5
16	6	4
17	6	4
18	6	3
19	6	3
20	6	1
21	6	1
22	6	4
23	6	6
0	7	4
1	7	10
2	7	17
3	7	12
4	7	17
5	7	21
6	7	6
7	7	12
8	7	8
9	7	12
10	7	10
11	7	6
12	7	6
13	7	16
14	7	8
15	7	8
16	7	2
17	7	0
18	7	4
19	7	0
20	7	2
21	7	2
22	7	0
23	7	10
0	8	11
1	8	8
2	8	9
3	8	10
4	8	11
5	8	10
6	8	16
7	8	8
8	8	9
9	8	8
10	8	7
11	8	10
12	8	12
13	8	13
14	8	9
15	8	7
16	8	4
17	8	2
18	8	3
19	8	0
20	8	0
21	8	1
22	8	3
23	8	3
0	9	0
1	9	0
2	9	0
3	9	0
4	9	36
5	9	0
6	9	0
7	9	0
8	9	0
9	9	36
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	3
1	10	4
2	10	4
3	10	5
4	10	6
5	10	7
6	10	6
7	10	5
8	10	5
9	10	6
10	10	6
11	10	7
12	10	7
13	10	7
14	10	8
15	10	6
16	10	4
17	10	2
18	10	1
19	10	1
20	10	1
21	10	1
22	10	2
23	10	3
0	11	6
1	11	6
2	11	9
3	11	7
4	11	9
5	11	13
6	11	10
7	11	8
8	11	8
9	11	5
10	11	8
11	11	9
12	11	11
13	11	13
14	11	14
15	11	8
16	11	9
17	11	5
18	11	2
19	11	2
20	11	1
21	11	1
22	11	2
23	11	4
0	12	9
1	12	12
2	12	14
3	12	23
4	12	7
5	12	16
6	12	10
7	12	14
8	12	13
9	12	9
10	12	5
11	12	5
12	12	6
13	12	2
14	12	4
15	12	3
16	12	0
17	12	0
18	12	3
19	12	0
20	12	0
21	12	0
22	12	0
23	12	4
0	13	7
1	13	6
2	13	9
3	13	10
4	13	7
5	13	9
6	13	8
7	13	4
8	13	8
9	13	5
10	13	4
11	13	10
12	13	13
13	13	10
14	13	9
15	13	6
16	13	4
17	13	3
18	13	1
19	13	0
20	13	1
21	13	2
22	13	2
23	13	4
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	5
1	15	7
2	15	6
3	15	5
4	15	7
5	15	7
6	15	4
7	15	4
8	15	5
9	15	5
10	15	5
11	15	5
12	15	7
13	15	5
14	15	7
15	15	5
16	15	3
17	15	1
18	15	1
19	15	1
20	15	1
21	15	1
22	15	2
23	15	3
0	16	7
1	16	8
2	16	8
3	16	9
4	16	10
5	16	12
6	16	9
7	16	8
8	16	8
9	16	8
10	16	8
11	16	10
12	16	12
13	16	12
14	16	11
15	16	9
