Counts for Samsung(12) in Vietnam(50):
Hour	Location Index	Count
0	0	11
1	0	18
2	0	13
3	0	16
4	0	14
5	0	11
6	0	14
7	0	17
8	0	12
9	0	13
10	0	10
11	0	14
12	0	14
13	0	17
14	0	11
15	0	5
16	0	3
17	0	2
18	0	1
19	0	1
20	0	1
21	0	1
22	0	1
23	0	5
0	1	9
1	1	10
2	1	10
3	1	11
4	1	12
5	1	16
6	1	12
7	1	10
8	1	10
9	1	9
10	1	10
11	1	10
12	1	12
13	1	11
14	1	12
15	1	9
16	1	6
17	1	4
18	1	2
19	1	1
20	1	2
21	1	2
22	1	3
23	1	6
0	2	7
1	2	8
2	2	7
3	2	9
4	2	9
5	2	16
6	2	11
7	2	8
8	2	8
9	2	9
10	2	10
11	2	10
12	2	12
13	2	10
14	2	12
15	2	14
16	2	11
17	2	7
18	2	4
19	2	2
20	2	1
21	2	2
22	2	3
23	2	5
0	3	11
1	3	10
2	3	7
3	3	10
4	3	15
5	3	15
6	3	12
7	3	8
8	3	10
9	3	10
10	3	9
11	3	9
12	3	11
13	3	13
14	3	12
15	3	11
16	3	13
17	3	5
18	3	3
19	3	2
20	3	2
21	3	3
22	3	3
23	3	9
0	4	8
1	4	9
2	4	12
3	4	14
4	4	16
5	4	19
6	4	16
7	4	10
8	4	8
9	4	11
10	4	9
11	4	11
12	4	14
13	4	14
14	4	9
15	4	11
16	4	6
17	4	3
18	4	2
19	4	2
20	4	1
21	4	2
22	4	4
23	4	6
0	5	6
1	5	6
2	5	9
3	5	9
4	5	14
5	5	24
6	5	12
7	5	14
8	5	8
9	5	8
10	5	11
11	5	4
12	5	6
13	5	8
14	5	6
15	5	13
16	5	8
17	5	6
18	5	4
19	5	0
20	5	0
21	5	0
22	5	5
23	5	6
0	6	10
1	6	7
2	6	6
3	6	9
4	6	12
5	6	15
6	6	9
7	6	8
8	6	6
9	6	7
10	6	10
11	6	11
12	6	12
13	6	7
14	6	8
15	6	8
16	6	5
17	6	4
18	6	3
19	6	2
20	6	2
21	6	2
22	6	3
23	6	4
0	7	6
1	7	8
2	7	10
3	7	10
4	7	19
5	7	16
6	7	26
7	7	8
8	7	12
9	7	17
10	7	8
11	7	28
12	7	30
13	7	41
14	7	8
15	7	10
16	7	8
17	7	4
18	7	0
19	7	8
20	7	2
21	7	4
22	7	0
23	7	6
0	8	10
1	8	14
2	8	8
3	8	16
4	8	13
5	8	19
6	8	9
7	8	10
8	8	14
9	8	7
10	8	16
11	8	11
12	8	10
13	8	16
14	8	14
15	8	12
16	8	3
17	8	1
18	8	3
19	8	2
20	8	1
21	8	1
22	8	1
23	8	8
0	9	0
1	9	66
2	9	0
3	9	66
4	9	36
5	9	92
6	9	66
7	9	36
8	9	0
9	9	0
10	9	0
11	9	36
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	7
1	10	7
2	10	7
3	10	8
4	10	10
5	10	13
6	10	11
7	10	10
8	10	9
9	10	11
10	10	12
11	10	12
12	10	12
13	10	12
14	10	12
15	10	12
16	10	8
17	10	4
18	10	3
19	10	2
20	10	2
21	10	2
22	10	3
23	10	5
0	11	12
1	11	10
2	11	13
3	11	11
4	11	14
5	11	20
6	11	16
7	11	13
8	11	10
9	11	9
10	11	9
11	11	11
12	11	15
13	11	17
14	11	17
15	11	16
16	11	9
17	11	4
18	11	2
19	11	1
20	11	1
21	11	1
22	11	2
23	11	10
0	12	12
1	12	16
2	12	18
3	12	17
4	12	11
5	12	18
6	12	17
7	12	16
8	12	12
9	12	12
10	12	7
11	12	3
12	12	5
13	12	6
14	12	5
15	12	1
16	12	0
17	12	2
