Counts for Sony(13) in Vietnam(50):
Hour	Location Index	Count
0	0	4
1	0	6
2	0	7
3	0	4
4	0	3
5	0	5
6	0	4
7	0	6
8	0	4
9	0	5
10	0	4
11	0	4
12	0	5
13	0	6
14	0	4
15	0	2
16	0	1
17	0	1
18	0	0
19	0	1
20	0	1
21	0	0
22	0	1
23	0	1
0	1	2
1	1	3
2	1	3
3	1	3
4	1	2
5	1	3
6	1	3
7	1	2
8	1	2
9	1	2
10	1	2
11	1	2
12	1	3
13	1	3
14	1	2
15	1	2
16	1	2
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
0	2	1
1	2	1
2	2	1
3	2	1
4	2	1
5	2	2
6	2	2
7	2	1
8	2	1
9	2	2
10	2	2
11	2	1
12	2	2
13	2	1
14	2	3
15	2	2
16	2	2
17	2	1
18	2	1
19	2	1
20	2	0
21	2	0
22	2	1
23	2	1
0	3	2
1	3	1
2	3	5
3	3	2
4	3	3
5	3	2
6	3	2
7	3	3
8	3	1
9	3	2
10	3	2
11	3	1
12	3	3
13	3	4
14	3	3
15	3	4
16	3	1
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	1
23	3	3
0	4	2
1	4	1
2	4	2
3	4	1
4	4	1
5	4	2
6	4	2
7	4	1
8	4	1
9	4	2
10	4	1
11	4	1
12	4	2
13	4	2
14	4	2
15	4	2
16	4	1
17	4	1
18	4	1
19	4	1
20	4	0
21	4	1
22	4	1
23	4	1
0	5	2
1	5	4
2	5	7
3	5	5
4	5	8
5	5	4
6	5	4
7	5	2
8	5	3
9	5	2
10	5	2
11	5	4
12	5	5
13	5	3
14	5	0
15	5	3
16	5	3
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	2
1	6	3
2	6	2
3	6	0
4	6	1
5	6	2
6	6	2
7	6	2
8	6	1
9	6	2
10	6	2
11	6	2
12	6	2
13	6	3
14	6	2
15	6	2
16	6	1
17	6	1
18	6	0
19	6	1
20	6	0
21	6	0
22	6	2
23	6	2
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	8
7	7	2
8	7	6
9	7	2
10	7	2
11	7	4
12	7	0
13	7	2
14	7	0
15	7	0
16	7	0
