Counts for Apple(2) in Vietnam(50):
Hour	Location Index	Count
0	0	19
1	0	28
2	0	28
3	0	27
4	0	27
5	0	31
6	0	25
7	0	25
8	0	24
9	0	23
10	0	20
11	0	24
12	0	22
13	0	21
14	0	18
15	0	11
16	0	9
17	0	4
18	0	3
19	0	2
20	0	1
21	0	2
22	0	4
23	0	9
0	1	20
1	1	22
2	1	24
3	1	26
4	1	29
5	1	39
6	1	30
7	1	24
8	1	23
9	1	23
10	1	24
11	1	24
12	1	25
13	1	23
14	1	24
15	1	24
16	1	15
17	1	9
18	1	5
19	1	3
20	1	3
21	1	4
22	1	7
23	1	15
0	2	20
1	2	26
2	2	25
3	2	29
4	2	32
5	2	42
6	2	37
7	2	29
8	2	33
9	2	28
10	2	30
11	2	34
12	2	33
13	2	31
14	2	27
15	2	37
16	2	32
17	2	21
18	2	11
19	2	8
20	2	5
21	2	5
22	2	7
23	2	17
0	3	19
1	3	19
2	3	23
3	3	22
4	3	25
5	3	33
6	3	33
7	3	25
8	3	19
9	3	21
10	3	17
11	3	24
12	3	21
13	3	20
14	3	21
15	3	25
16	3	19
17	3	11
18	3	7
19	3	3
20	3	5
21	3	2
22	3	7
23	3	12
0	4	25
1	4	27
2	4	33
3	4	34
4	4	34
5	4	50
6	4	38
7	4	28
8	4	26
9	4	21
10	4	27
11	4	30
12	4	30
13	4	28
14	4	25
15	4	27
16	4	21
17	4	15
18	4	7
19	4	3
20	4	3
21	4	3
22	4	10
23	4	19
0	5	14
1	5	28
2	5	25
3	5	31
4	5	26
5	5	36
6	5	39
7	5	30
8	5	21
9	5	27
10	5	15
11	5	26
12	5	33
13	5	17
14	5	31
15	5	29
16	5	17
17	5	5
18	5	4
19	5	6
20	5	8
21	5	3
22	5	7
23	5	16
0	6	25
1	6	35
2	6	26
3	6	31
4	6	30
5	6	41
6	6	29
7	6	25
8	6	20
9	6	21
10	6	27
11	6	29
12	6	28
13	6	24
14	6	25
15	6	24
16	6	11
17	6	11
18	6	5
19	6	3
20	6	5
21	6	4
22	6	8
23	6	18
0	7	12
1	7	10
2	7	17
3	7	16
4	7	16
5	7	21
6	7	6
7	7	8
8	7	16
9	7	10
10	7	10
11	7	12
12	7	25
13	7	23
14	7	14
15	7	4
16	7	8
17	7	6
18	7	0
19	7	0
20	7	0
21	7	4
22	7	10
23	7	12
0	8	27
1	8	22
2	8	30
3	8	23
4	8	29
5	8	29
6	8	24
7	8	19
8	8	20
9	8	17
10	8	18
11	8	22
12	8	28
13	8	25
14	8	17
15	8	14
16	8	14
17	8	7
18	8	5
19	8	3
20	8	1
21	8	3
22	8	5
23	8	12
0	9	0
1	9	0
2	9	36
3	9	134
4	9	36
5	9	36
6	9	0
7	9	0
8	9	115
9	9	0
10	9	36
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	18
1	10	19
2	10	22
3	10	26
4	10	31
5	10	37
6	10	34
7	10	29
8	10	30
9	10	34
10	10	38
11	10	37
12	10	34
13	10	33
14	10	32
15	10	35
16	10	27
17	10	18
18	10	9
19	10	5
20	10	4
21	10	5
22	10	7
23	10	13
0	11	16
1	11	19
2	11	21
3	11	22
4	11	26
5	11	38
6	11	39
7	11	18
8	11	16
9	11	20
10	11	21
11	11	19
12	11	25
13	11	24
14	11	22
15	11	23
16	11	16
17	11	11
18	11	5
19	11	2
20	11	3
21	11	2
22	11	4
23	11	9
0	12	26
1	12	40
2	12	35
3	12	54
4	12	38
5	12	32
6	12	31
7	12	22
8	12	27
9	12	26
10	12	9
11	12	16
12	12	11
13	12	7
14	12	7
15	12	7
16	12	3
17	12	5
18	12	0
19	12	0
20	12	1
21	12	1
22	12	2
23	12	6
0	13	21
1	13	24
2	13	27
3	13	26
4	13	31
5	13	34
6	13	34
7	13	25
8	13	26
9	13	21
10	13	19
11	13	27
12	13	27
13	13	20
14	13	22
15	13	21
16	13	15
17	13	10
18	13	5
19	13	3
20	13	3
21	13	3
22	13	6
23	13	14
0	14	0
1	14	0
2	14	0
3	14	0
4	14	119
5	14	166
6	14	88
7	14	0
8	14	0
9	14	49
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	25
1	15	27
2	15	26
3	15	28
4	15	32
5	15	40
6	15	36
7	15	27
8	15	23
9	15	23
10	15	22
11	15	27
12	15	30
13	15	26
14	15	24
15	15	25
16	15	18
17	15	12
18	15	5
19	15	4
20	15	4
21	15	4
22	15	7
23	15	19
0	16	17
1	16	21
2	16	22
3	16	24
4	16	26
5	16	32
6	16	28
7	16	23
8	16	23
9	16	23
10	16	25
11	16	25
12	16	25
13	16	23
14	16	22
15	16	22
16	16	17
17	16	11
18	16	6
19	16	4
20	16	3
21	16	4
22	16	6
23	16	12
0	17	7
1	17	13
2	17	7
3	17	7
4	17	10
5	17	44
6	17	30
7	17	13
8	17	16
9	17	27
10	17	30
11	17	13
12	17	13
13	17	22
14	17	24
15	17	10
16	17	4
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	13
0	18	12
1	18	18
2	18	23
3	18	12
4	18	27
5	18	37
6	18	20
7	18	37
8	18	35
9	18	16
10	18	33
11	18	31
12	18	33
13	18	23
14	18	14
15	18	39
16	18	25
17	18	12
18	18	10
19	18	0
20	18	3
21	18	5
22	18	5
23	18	29
0	19	23
1	19	23
2	19	26
3	19	28
4	19	30
5	19	50
6	19	35
7	19	27
8	19	22
9	19	22
10	19	21
11	19	27
12	19	24
13	19	25
14	19	27
15	19	31
16	19	20
17	19	13
18	19	7
19	19	4
20	19	3
21	19	4
22	19	6
23	19	15
0	20	0
1	20	26
2	20	38
3	20	14
4	20	60
5	20	49
6	20	38
7	20	38
8	20	14
9	20	49
10	20	26
11	20	70
12	20	38
13	20	0
14	20	14
15	20	14
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	14
23	20	14
0	21	7
1	21	47
2	21	57
3	21	17
4	21	38
5	21	52
6	21	26
7	21	41
8	21	57
9	21	23
10	21	32
11	21	14
12	21	10
13	21	0
14	21	4
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	4
0	22	20
1	22	33
2	22	31
3	22	31
4	22	39
5	22	39
6	22	39
7	22	32
8	22	21
9	22	23
10	22	40
11	22	40
12	22	29
13	22	33
14	22	25
15	22	30
16	22	29
17	22	19
18	22	16
19	22	6
20	22	9
21	22	8
22	22	8
23	22	16
0	23	10
1	23	10
2	23	37
3	23	32
4	23	37
5	23	37
6	23	24
7	23	35
8	23	7
9	23	12
10	23	29
11	23	48
12	23	27
13	23	24
14	23	18
15	23	18
16	23	15
17	23	12
18	23	0
19	23	0
20	23	0
21	23	4
22	23	4
23	23	10
0	24	13
1	24	15
2	24	18
3	24	16
4	24	17
5	24	17
6	24	15
7	24	17
8	24	13
9	24	13
10	24	11
11	24	15
12	24	14
13	24	14
14	24	12
15	24	11
16	24	8
17	24	6
18	24	3
19	24	2
20	24	2
21	24	3
22	24	5
23	24	8
0	25	0
1	25	42
2	25	0
3	25	0
4	25	0
5	25	0
6	25	0
7	25	0
8	25	0
9	25	77
10	25	42
11	25	0
12	25	0
13	25	0
14	25	0
15	25	0
16	25	0
17	25	0
18	25	0
19	25	0
20	25	0
21	25	0
22	25	0
23	25	0
0	26	0
1	26	0
2	26	154
3	26	0
4	26	0
5	26	0
6	26	0
7	26	0
8	26	95
9	26	154
10	26	95
11	26	0
12	26	95
13	26	0
14	26	0
15	26	0
16	26	95
17	26	0
18	26	0
19	26	0
20	26	95
21	26	0
22	26	0
23	26	0
0	27	21
1	27	15
2	27	30
3	27	19
4	27	32
5	27	32
6	27	23
7	27	22
8	27	32
9	27	23
10	27	23
11	27	17
12	27	23
13	27	26
14	27	16
15	27	11
16	27	8
17	27	4
18	27	3
19	27	3
20	27	0
21	27	0
22	27	1
23	27	4
0	28	19
1	28	26
2	28	27
3	28	29
4	28	32
5	28	36
6	28	34
7	28	28
8	28	28
9	28	28
10	28	27
11	28	27
12	28	26
13	28	24
14	28	22
15	28	23
16	28	18
17	28	12
18	28	6
19	28	4
20	28	4
21	28	4
22	28	5
23	28	12
0	29	0
1	29	107
2	29	61
3	29	0
4	29	61
5	29	107
6	29	0
7	29	0
8	29	0
9	29	61
10	29	107
11	29	107
12	29	61
13	29	0
14	29	0
15	29	0
16	29	61
17	29	61
18	29	0
19	29	0
20	29	61
21	29	0
22	29	0
23	29	0
0	30	0
1	30	0
2	30	0
3	30	0
4	30	0
5	30	0
6	30	0
7	30	0
8	30	0
9	30	0
10	30	0
11	30	0
12	30	0
13	30	0
14	30	0
15	30	0
16	30	0
17	30	0
18	30	0
19	30	0
20	30	0
21	30	0
22	30	0
23	30	0
0	31	19
1	31	18
2	31	18
3	31	20
4	31	27
5	31	35
6	31	27
7	31	20
8	31	19
9	31	19
10	31	17
11	31	19
12	31	23
13	31	22
14	31	25
15	31	24
16	31	14
17	31	8
18	31	3
19	31	2
20	31	3
21	31	3
22	31	8
23	31	15
0	32	13
1	32	36
2	32	0
3	32	36
4	32	25
5	32	56
6	32	46
7	32	13
8	32	13
9	32	36
10	32	13
11	32	46
12	32	25
13	32	25
14	32	25
15	32	13
16	32	0
17	32	0
18	32	0
19	32	0
20	32	0
21	32	0
22	32	13
23	32	0
0	33	14
1	33	24
2	33	26
3	33	20
4	33	22
5	33	27
6	33	27
7	33	18
8	33	17
9	33	19
10	33	21
11	33	19
12	33	16
13	33	27
14	33	23
15	33	27
16	33	16
17	33	11
18	33	1
19	33	3
20	33	2
21	33	5
22	33	5
23	33	11
0	34	15
1	34	18
2	34	20
3	34	21
4	34	25
5	34	30
6	34	24
7	34	21
8	34	19
9	34	19
10	34	19
11	34	21
12	34	23
13	34	23
14	34	22
15	34	17
16	34	10
17	34	6
18	34	3
19	34	2
20	34	2
21	34	3
22	34	6
23	34	11
0	35	28
1	35	28
2	35	28
3	35	32
4	35	35
5	35	40
6	35	36
7	35	39
8	35	33
9	35	33
10	35	49
11	35	43
12	35	42
13	35	39
14	35	32
15	35	31
16	35	26
17	35	21
18	35	8
19	35	5
20	35	1
21	35	2
22	35	11
23	35	16
0	36	0
1	36	13
2	36	25
3	36	47
4	36	58
5	36	36
6	36	58
7	36	36
8	36	67
9	36	163
10	36	25
11	36	25
12	36	13
13	36	0
14	36	25
15	36	0
16	36	0
17	36	0
18	36	0
19	36	0
20	36	0
21	36	0
22	36	0
23	36	0
0	37	19
1	37	24
2	37	19
3	37	25
4	37	31
5	37	41
6	37	24
7	37	21
8	37	21
9	37	17
10	37	21
11	37	21
12	37	26
13	37	26
14	37	30
15	37	20
16	37	14
17	37	7
18	37	5
19	37	1
20	37	1
21	37	1
22	37	12
23	37	15
0	38	16
1	38	19
2	38	16
3	38	27
4	38	29
5	38	29
6	38	29
7	38	29
8	38	26
9	38	35
10	38	37
11	38	32
12	38	34
13	38	30
14	38	38
15	38	39
16	38	27
17	38	16
18	38	7
19	38	2
20	38	2
21	38	3
22	38	3
23	38	13
0	39	18
1	39	21
2	39	23
3	39	26
4	39	32
5	39	37
6	39	34
7	39	30
8	39	29
9	39	33
10	39	37
11	39	37
12	39	35
13	39	35
14	39	35
15	39	36
16	39	26
17	39	15
18	39	8
19	39	4
20	39	3
21	39	4
22	39	7
23	39	14
0	40	12
1	40	23
2	40	6
3	40	3
4	40	21
5	40	39
6	40	21
7	40	23
8	40	23
9	40	9
10	40	15
11	40	21
12	40	29
13	40	31
14	40	34
15	40	31
16	40	6
17	40	9
18	40	9
19	40	0
20	40	6
21	40	9
22	40	9
23	40	15
0	41	21
1	41	28
2	41	26
3	41	25
4	41	31
5	41	47
6	41	38
7	41	27
8	41	21
9	41	23
10	41	24
11	41	27
12	41	28
13	41	27
14	41	26
15	41	29
16	41	20
17	41	11
18	41	6
19	41	4
20	41	4
21	41	4
22	41	7
23	41	15
0	42	16
1	42	29
2	42	32
3	42	29
4	42	28
5	42	33
6	42	18
7	42	26
8	42	31
9	42	13
10	42	24
11	42	28
12	42	32
13	42	18
14	42	15
15	42	17
16	42	13
17	42	3
18	42	5
19	42	3
20	42	0
21	42	5
22	42	3
23	42	16
0	43	18
1	43	18
2	43	16
3	43	22
4	43	27
5	43	29
6	43	24
7	43	24
8	43	25
9	43	16
10	43	23
11	43	25
12	43	23
13	43	16
14	43	16
15	43	17
16	43	7
17	43	8
18	43	4
19	43	2
20	43	1
21	43	7
22	43	5
23	43	12
0	44	6
1	44	20
2	44	16
3	44	21
4	44	15
5	44	24
6	44	29
7	44	21
8	44	27
9	44	24
10	44	16
11	44	18
12	44	17
13	44	18
14	44	9
15	44	7
16	44	4
17	44	2
18	44	4
19	44	1
20	44	1
21	44	1
22	44	2
23	44	1
0	45	17
1	45	18
2	45	16
3	45	19
4	45	16
5	45	19
6	45	17
7	45	18
8	45	19
9	45	16
10	45	12
11	45	10
12	45	15
13	45	15
14	45	13
15	45	12
16	45	6
17	45	4
18	45	3
19	45	3
20	45	2
21	45	4
22	45	3
23	45	8
0	46	26
1	46	26
2	46	28
3	46	23
4	46	30
5	46	39
6	46	34
7	46	24
8	46	21
9	46	24
10	46	26
11	46	30
12	46	31
13	46	27
14	46	25
15	46	31
16	46	23
17	46	15
18	46	8
19	46	4
20	46	5
21	46	5
22	46	6
23	46	18
0	47	16
1	47	22
2	47	14
3	47	29
4	47	26
5	47	40
6	47	26
7	47	23
8	47	23
9	47	7
10	47	12
11	47	12
12	47	26
13	47	23
14	47	14
15	47	9
16	47	9
17	47	3
18	47	5
19	47	0
20	47	0
21	47	3
22	47	16
23	47	10
0	48	18
1	48	21
2	48	24
3	48	25
4	48	28
5	48	33
6	48	28
7	48	23
8	48	22
9	48	22
10	48	25
11	48	24
12	48	25
13	48	22
14	48	21
15	48	20
16	48	13
17	48	8
