Counts for HTC(5) in Vietnam(50):
Hour	Location Index	Count
0	0	5
1	0	3
2	0	6
3	0	3
4	0	4
5	0	4
6	0	3
7	0	5
8	0	3
9	0	4
10	0	3
11	0	4
12	0	5
13	0	3
14	0	2
15	0	1
16	0	1
17	0	1
18	0	1
19	0	1
20	0	0
21	0	0
22	0	0
23	0	1
0	1	3
1	1	2
2	1	2
3	1	3
4	1	3
5	1	4
6	1	3
7	1	2
8	1	2
9	1	2
10	1	3
11	1	3
12	1	3
13	1	3
14	1	3
15	1	2
16	1	2
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	2
0	2	1
1	2	2
2	2	3
3	2	2
4	2	2
5	2	3
6	2	2
7	2	2
8	2	2
9	2	1
10	2	2
11	2	3
12	2	2
13	2	2
14	2	2
15	2	2
16	2	2
17	2	2
18	2	1
19	2	1
20	2	1
21	2	1
22	2	1
23	2	3
0	3	3
1	3	4
2	3	2
3	3	2
4	3	3
5	3	4
6	3	4
7	3	2
8	3	3
9	3	2
10	3	1
11	3	3
12	3	3
13	3	4
14	3	3
15	3	3
16	3	2
17	3	2
18	3	1
19	3	0
20	3	1
21	3	0
22	3	3
23	3	2
0	4	2
1	4	2
2	4	2
3	4	4
4	4	1
5	4	2
6	4	2
7	4	2
8	4	2
9	4	2
10	4	1
11	4	2
12	4	2
13	4	2
14	4	3
15	4	1
16	4	1
17	4	1
18	4	1
19	4	0
20	4	0
21	4	1
22	4	0
23	4	1
0	5	3
1	5	3
2	5	4
3	5	2
4	5	4
5	5	7
6	5	0
7	5	0
8	5	2
9	5	2
10	5	0
11	5	4
12	5	0
13	5	2
14	5	5
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	2
23	5	2
0	6	1
1	6	6
2	6	5
3	6	2
4	6	3
5	6	3
6	6	5
7	6	2
8	6	3
9	6	3
10	6	3
11	6	2
12	6	4
13	6	3
14	6	1
15	6	3
16	6	1
17	6	3
18	6	1
19	6	0
20	6	1
21	6	1
22	6	1
23	6	3
0	7	0
1	7	0
2	7	2
3	7	4
4	7	2
5	7	10
6	7	8
7	7	4
8	7	8
9	7	0
10	7	0
11	7	4
12	7	6
13	7	6
14	7	0
15	7	8
16	7	0
17	7	2
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	6
0	8	3
1	8	4
2	8	3
3	8	4
4	8	2
5	8	1
6	8	2
7	8	3
8	8	5
9	8	5
10	8	3
11	8	3
12	8	3
13	8	1
14	8	4
15	8	3
16	8	2
17	8	1
18	8	1
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	2
1	10	2
2	10	2
3	10	2
4	10	2
5	10	3
6	10	2
7	10	2
8	10	2
9	10	2
10	10	3
11	10	3
12	10	3
13	10	2
14	10	3
15	10	3
16	10	2
17	10	2
18	10	1
19	10	1
20	10	1
21	10	1
22	10	1
23	10	2
0	11	2
1	11	2
2	11	2
3	11	4
4	11	1
5	11	6
6	11	3
7	11	1
8	11	4
9	11	3
10	11	3
11	11	2
12	11	3
13	11	3
14	11	4
15	11	4
16	11	2
17	11	1
18	11	1
19	11	0
20	11	1
21	11	1
22	11	1
23	11	3
0	12	4
1	12	2
2	12	3
3	12	3
4	12	7
5	12	2
6	12	3
7	12	6
8	12	8
9	12	4
10	12	3
11	12	5
12	12	3
13	12	3
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	1
0	13	3
1	13	3
2	13	3
3	13	3
4	13	3
5	13	5
6	13	2
7	13	3
8	13	3
9	13	1
10	13	2
11	13	3
12	13	4
13	13	2
14	13	2
15	13	3
16	13	3
17	13	1
18	13	1
19	13	1
20	13	0
21	13	1
22	13	1
23	13	1
0	14	0
1	14	49
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	49
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	3
1	15	4
2	15	3
3	15	3
4	15	3
5	15	2
6	15	2
7	15	2
8	15	2
9	15	2
10	15	2
11	15	2
12	15	2
13	15	2
14	15	2
15	15	2
16	15	1
17	15	1
18	15	1
19	15	1
20	15	1
21	15	1
22	15	0
23	15	1
0	16	2
1	16	2
2	16	3
3	16	3
4	16	3
5	16	3
6	16	3
7	16	2
8	16	2
9	16	3
10	16	3
11	16	3
12	16	3
13	16	3
14	16	3
15	16	3
16	16	2
17	16	1
18	16	1
19	16	1
20	16	1
21	16	1
22	16	1
23	16	2
0	17	0
1	17	4
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	4
10	17	0
11	17	0
12	17	0
13	17	4
14	17	33
15	17	4
16	17	4
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	4
0	18	3
1	18	0
2	18	5
3	18	3
4	18	0
5	18	3
6	18	3
7	18	0
8	18	7
9	18	0
10	18	0
11	18	3
12	18	0
13	18	3
14	18	3
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	2
1	19	2
2	19	1
3	19	2
4	19	2
5	19	2
6	19	2
7	19	2
8	19	2
9	19	1
10	19	1
11	19	2
12	19	2
13	19	1
14	19	1
15	19	1
16	19	1
17	19	2
18	19	1
19	19	1
20	19	0
21	19	0
22	19	1
23	19	1
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	14
16	20	14
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	7
2	21	4
3	21	14
4	21	10
