Counts for Lenovo(7) in Vietnam(50):
Hour	Location Index	Count
0	0	1
1	0	2
2	0	2
3	0	1
4	0	1
5	0	1
6	0	2
7	0	1
8	0	2
9	0	2
10	0	1
11	0	1
12	0	2
13	0	1
14	0	2
15	0	1
16	0	2
17	0	1
18	0	0
19	0	0
20	0	0
21	0	1
22	0	1
23	0	1
0	1	2
1	1	2
2	1	2
3	1	2
4	1	2
5	1	3
6	1	2
7	1	2
8	1	2
9	1	2
10	1	2
11	1	2
12	1	2
13	1	2
14	1	2
15	1	2
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
0	2	1
1	2	1
2	2	1
3	2	2
4	2	2
5	2	2
6	2	1
7	2	2
8	2	1
9	2	2
10	2	1
11	2	2
12	2	1
13	2	1
14	2	2
15	2	2
16	2	1
17	2	1
18	2	1
19	2	1
20	2	1
21	2	0
22	2	1
23	2	1
0	3	2
1	3	1
2	3	1
3	3	4
4	3	3
5	3	5
6	3	4
7	3	2
8	3	2
9	3	2
10	3	3
11	3	3
12	3	4
13	3	4
14	3	4
15	3	3
16	3	2
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	2
0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	2
6	4	1
7	4	2
8	4	2
9	4	2
10	4	2
11	4	1
12	4	1
13	4	3
14	4	2
15	4	1
16	4	2
17	4	1
18	4	0
19	4	1
20	4	1
21	4	1
22	4	1
23	4	1
0	5	2
1	5	0
2	5	3
3	5	0
4	5	3
5	5	3
6	5	0
7	5	2
8	5	0
9	5	2
10	5	2
11	5	0
12	5	0
13	5	2
14	5	3
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	3
0	6	1
1	6	2
2	6	2
3	6	2
4	6	2
5	6	3
6	6	3
7	6	4
8	6	3
9	6	2
10	6	1
11	6	2
12	6	3
13	6	1
14	6	1
15	6	1
16	6	1
17	6	1
18	6	1
19	6	0
20	6	0
21	6	0
22	6	1
23	6	1
0	7	0
1	7	2
2	7	0
3	7	6
4	7	0
5	7	4
6	7	4
7	7	4
8	7	2
9	7	0
10	7	0
11	7	0
12	7	2
13	7	2
14	7	2
15	7	2
16	7	4
17	7	0
18	7	0
19	7	0
20	7	2
21	7	0
22	7	2
23	7	0
0	8	0
1	8	3
2	8	3
3	8	1
4	8	4
5	8	4
6	8	2
7	8	0
8	8	3
9	8	3
10	8	2
11	8	1
12	8	3
13	8	2
14	8	2
15	8	0
16	8	2
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	1
23	8	2
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	1
1	10	1
2	10	1
3	10	1
4	10	2
5	10	2
