Counts for LG(8) in Vietnam(50):
Hour	Location Index	Count
0	0	5
1	0	10
2	0	4
3	0	4
4	0	7
5	0	3
6	0	2
7	0	8
8	0	3
9	0	5
10	0	4
11	0	4
12	0	5
13	0	5
14	0	4
15	0	2
16	0	1
17	0	1
18	0	1
19	0	1
20	0	1
21	0	0
22	0	1
23	0	1
0	1	3
1	1	3
2	1	3
3	1	3
4	1	3
5	1	4
6	1	4
7	1	3
8	1	3
9	1	3
10	1	3
11	1	3
12	1	3
13	1	3
14	1	3
15	1	3
16	1	2
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	2
0	2	3
1	2	3
2	2	2
3	2	3
4	2	2
5	2	4
6	2	3
7	2	3
8	2	2
9	2	3
10	2	3
11	2	2
12	2	2
13	2	3
14	2	2
15	2	2
16	2	2
17	2	2
18	2	1
19	2	1
20	2	1
21	2	0
22	2	1
23	2	2
0	3	2
1	3	4
2	3	6
3	3	8
4	3	7
5	3	5
6	3	8
7	3	5
8	3	5
9	3	4
10	3	3
11	3	2
12	3	5
13	3	4
14	3	3
15	3	3
16	3	2
17	3	3
18	3	2
19	3	1
20	3	0
21	3	0
22	3	2
23	3	1
0	4	2
1	4	1
2	4	3
3	4	2
4	4	2
5	4	3
6	4	2
7	4	2
8	4	1
9	4	3
10	4	4
11	4	3
12	4	3
13	4	6
14	4	4
15	4	3
16	4	2
17	4	2
18	4	2
19	4	1
20	4	1
21	4	1
22	4	1
23	4	2
0	5	2
1	5	3
2	5	3
3	5	3
4	5	2
5	5	6
6	5	2
7	5	2
8	5	3
9	5	3
10	5	6
11	5	0
12	5	3
13	5	2
14	5	3
15	5	2
16	5	3
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	2
23	5	3
0	6	4
1	6	6
2	6	4
3	6	4
4	6	3
5	6	4
6	6	4
7	6	2
8	6	2
9	6	2
10	6	4
11	6	1
12	6	4
13	6	3
14	6	1
15	6	4
16	6	3
17	6	2
18	6	3
19	6	1
20	6	1
21	6	1
22	6	1
23	6	2
0	7	4
1	7	0
2	7	0
3	7	0
4	7	2
5	7	0
6	7	0
7	7	0
8	7	0
9	7	12
10	7	4
11	7	6
