Counts for Samsung(12) in Chile(6):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	137
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	137
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	137
0	1	0
1	1	0
2	1	25
3	1	103
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	25
14	1	0
15	1	68
16	1	0
17	1	0
18	1	0
19	1	25
20	1	25
21	1	0
22	1	0
23	1	25
0	2	0
1	2	0
2	2	40
3	2	40
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	40
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	40
23	2	0
0	3	45
1	3	45
2	3	45
3	3	0
4	3	24
5	3	0
6	3	0
7	3	0
8	3	0
9	3	24
10	3	24
11	3	0
12	3	24
13	3	0
14	3	24
15	3	0
16	3	0
17	3	0
18	3	82
19	3	24
20	3	0
21	3	0
22	3	45
23	3	0
0	4	0
1	4	0
2	4	0
3	4	58
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	58
16	4	0
17	4	0
18	4	103
19	4	58
20	4	0
21	4	0
22	4	0
23	4	58
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	123
18	5	0
19	5	123
20	5	0
21	5	0
22	5	0
23	5	0
0	6	23
1	6	23
2	6	24
3	6	18
4	6	9
5	6	11
6	6	0
7	6	0
8	6	0
9	6	8
10	6	11
11	6	9
12	6	14
13	6	9
14	6	18
15	6	13
16	6	18
17	6	26
18	6	14
19	6	9
20	6	27
21	6	16
22	6	19
23	6	26
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	253
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	37
1	8	32
2	8	22
3	8	32
4	8	6
5	8	6
6	8	6
7	8	0
8	8	0
9	8	17
10	8	6
11	8	6
12	8	17
13	8	12
14	8	6
15	8	0
16	8	0
17	8	22
18	8	12
19	8	22
20	8	12
21	8	6
22	8	12
23	8	6
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	201
20	9	0
21	9	0
22	9	0
23	9	0
0	10	28
1	10	37
2	10	27
3	10	18
4	10	16
5	10	7
6	10	4
7	10	2
8	10	1
9	10	3
10	10	8
11	10	13
12	10	19
13	10	22
14	10	14
15	10	21
16	10	13
17	10	18
18	10	19
19	10	20
20	10	19
21	10	16
22	10	24
23	10	24
0	11	0
1	11	0
2	11	95
3	11	95
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	95
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	16
1	12	38
2	12	40
3	12	33
4	12	14
5	12	0
6	12	0
7	12	6
8	12	14
9	12	0
10	12	16
11	12	19
12	12	16
13	12	19
14	12	31
15	12	14
16	12	11
17	12	14
18	12	16
19	12	8
20	12	14
21	12	19
22	12	11
23	12	16
0	13	0
1	13	0
2	13	104
3	13	49
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	26
13	13	69
14	13	69
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	69
21	13	26
22	13	0
23	13	88
0	14	15
1	14	28
2	14	37
3	14	63
4	14	41
5	14	3
6	14	5
7	14	3
8	14	3
9	14	0
10	14	8
11	14	8
12	14	5
13	14	3
14	14	24
15	14	22
16	14	22
17	14	13
18	14	22
19	14	22
20	14	41
21	14	22
22	14	26
23	14	28
0	15	101
1	15	30
2	15	0
3	15	0
4	15	30
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	80
12	15	30
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	30
19	15	0
20	15	30
21	15	0
22	15	30
23	15	0
0	16	0
1	16	55
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	55
11	16	30
12	16	30
13	16	78
14	16	30
15	16	55
16	16	55
17	16	78
18	16	55
19	16	78
20	16	30
21	16	0
22	16	0
23	16	30
0	17	0
1	17	0
2	17	0
3	17	54
4	17	15
5	17	15
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	15
16	17	0
17	17	15
18	17	29
19	17	66
20	17	42
21	17	0
22	17	0
23	17	0
0	18	10
1	18	20
2	18	14
3	18	4
4	18	4
5	18	4
6	18	0
7	18	4
8	18	0
9	18	0
10	18	7
11	18	7
12	18	23
13	18	29
14	18	14
15	18	26
16	18	14
17	18	26
18	18	26
19	18	14
20	18	20
21	18	26
22	18	0
23	18	14
0	19	52
1	19	22
2	19	9
3	19	26
4	19	5
5	19	0
6	19	9
7	19	5
8	19	0
9	19	0
10	19	30
11	19	14
12	19	14
13	19	18
14	19	52
15	19	22
16	19	18
17	19	5
18	19	14
19	19	45
20	19	38
21	19	14
22	19	30
23	19	26
0	20	26
1	20	26
2	20	49
3	20	0
4	20	26
5	20	0
6	20	0
7	20	0
8	20	0
9	20	26
10	20	119
11	20	26
12	20	0
13	20	0
14	20	49
15	20	26
16	20	0
17	20	26
18	20	49
19	20	0
20	20	88
21	20	145
22	20	0
23	20	26
0	21	12
1	21	60
2	21	60
3	21	0
4	21	52
5	21	0
6	21	0
7	21	0
8	21	12
9	21	0
10	21	0
11	21	0
12	21	0
13	21	22
14	21	42
15	21	0
16	21	12
17	21	22
18	21	33
19	21	33
20	21	22
21	21	0
22	21	12
23	21	22
0	22	0
1	22	58
2	22	0
3	22	0
4	22	58
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	58
13	22	103
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	58
20	22	0
21	22	0
22	22	0
23	22	0
0	23	51
1	23	29
2	23	13
3	23	21
4	23	17
5	23	0
6	23	0
7	23	0
8	23	71
9	23	9
10	23	55
11	23	41
12	23	37
13	23	13
14	23	25
15	23	21
