Counts for Apple(2) in Chile(6):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	201
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	25
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	25
13	1	25
14	1	48
15	1	25
16	1	0
17	1	25
18	1	25
19	1	25
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	40
4	2	74
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	40
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	40
21	2	40
22	2	0
23	2	0
0	3	24
1	3	45
2	3	0
3	3	24
4	3	0
5	3	0
6	3	24
7	3	0
8	3	24
9	3	0
10	3	0
11	3	0
12	3	0
13	3	64
14	3	0
15	3	0
16	3	0
17	3	24
18	3	0
19	3	0
20	3	0
21	3	0
22	3	98
23	3	0
0	4	58
1	4	0
2	4	0
3	4	0
4	4	0
5	4	58
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	58
17	4	0
18	4	0
19	4	58
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	123
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	187
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	123
22	5	0
23	5	0
0	6	29
1	6	29
2	6	29
3	6	27
4	6	16
5	6	14
6	6	0
7	6	6
8	6	2
9	6	8
10	6	9
11	6	23
12	6	21
13	6	9
14	6	6
15	6	23
16	6	21
17	6	8
18	6	23
19	6	14
20	6	14
21	6	13
22	6	26
23	6	31
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	51
1	8	22
2	8	77
3	8	22
4	8	22
5	8	0
6	8	6
7	8	12
8	8	6
9	8	0
10	8	12
11	8	22
12	8	12
13	8	37
14	8	27
15	8	12
16	8	17
17	8	32
18	8	73
19	8	17
20	8	27
21	8	17
22	8	27
23	8	37
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	201
18	9	137
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	19
1	10	23
2	10	25
3	10	16
4	10	10
5	10	6
6	10	2
7	10	3
8	10	2
9	10	4
10	10	8
11	10	13
12	10	13
13	10	13
14	10	15
15	10	17
16	10	9
17	10	16
18	10	17
19	10	10
20	10	14
21	10	14
22	10	14
23	10	17
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	95
11	11	0
12	11	0
13	11	0
14	11	154
15	11	95
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	21
1	12	42
2	12	31
3	12	23
4	12	35
5	12	0
6	12	14
7	12	8
8	12	0
9	12	3
10	12	26
11	12	21
12	12	21
13	12	31
14	12	14
15	12	19
16	12	33
17	12	26
18	12	23
19	12	23
20	12	6
21	12	21
22	12	16
23	12	31
0	13	0
1	13	0
2	13	26
3	13	0
4	13	0
5	13	26
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	49
13	13	0
14	13	69
15	13	0
16	13	0
17	13	26
18	13	0
19	13	26
20	13	49
21	13	26
22	13	0
23	13	26
0	14	15
1	14	24
2	14	39
3	14	13
4	14	13
5	14	5
6	14	3
7	14	0
8	14	0
9	14	10
10	14	17
11	14	22
12	14	17
13	14	8
14	14	13
15	14	8
16	14	10
17	14	5
18	14	8
19	14	15
20	14	17
21	14	17
22	14	13
23	14	19
0	15	30
1	15	57
2	15	30
3	15	30
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	57
18	15	0
19	15	30
20	15	80
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	15
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	15
14	17	0
15	17	29
16	17	0
17	17	0
18	17	15
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	23
1	18	49
2	18	32
3	18	0
4	18	0
5	18	10
6	18	4
7	18	4
8	18	0
9	18	10
10	18	17
11	18	38
12	18	60
13	18	10
14	18	46
15	18	17
16	18	10
17	18	17
18	18	23
19	18	14
20	18	26
21	18	32
22	18	23
23	18	23
0	19	41
1	19	49
2	19	26
3	19	9
4	19	18
5	19	0
6	19	5
7	19	0
8	19	5
9	19	0
10	19	18
11	19	26
12	19	9
13	19	18
14	19	9
15	19	9
16	19	5
17	19	22
18	19	34
19	19	26
20	19	18
21	19	22
22	19	18
23	19	14
0	20	0
1	20	0
2	20	49
3	20	26
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	26
13	20	0
14	20	0
15	20	26
16	20	0
17	20	26
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	49
0	21	12
1	21	60
2	21	33
3	21	12
4	21	0
5	21	0
6	21	0
7	21	0
8	21	12
9	21	12
10	21	0
11	21	22
12	21	33
13	21	42
14	21	0
15	21	0
16	21	12
17	21	12
18	21	12
19	21	60
20	21	33
21	21	12
22	21	22
23	21	12
0	22	103
1	22	58
2	22	103
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	58
18	22	58
19	22	0
20	22	0
21	22	0
22	22	58
23	22	0
0	23	0
1	23	25
2	23	29
3	23	0
4	23	5
5	23	0
6	23	0
7	23	5
8	23	5
9	23	0
10	23	13
11	23	5
12	23	13
13	23	21
14	23	9
15	23	17
