Counts for Samsung(12) in Colombia(8):
Hour	Location Index	Count
0	0	29
1	0	29
2	0	0
3	0	54
4	0	29
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	54
12	0	29
13	0	0
14	0	0
15	0	0
16	0	0
17	0	54
18	0	54
19	0	29
20	0	0
21	0	0
22	0	0
23	0	29
0	1	21
1	1	31
2	1	18
3	1	31
4	1	18
5	1	8
6	1	0
7	1	0
8	1	0
9	1	4
10	1	0
11	1	4
12	1	11
13	1	8
14	1	18
15	1	18
16	1	4
17	1	18
18	1	14
19	1	21
20	1	18
21	1	11
22	1	11
23	1	21
0	2	32
1	2	0
2	2	50
3	2	32
4	2	0
5	2	22
6	2	0
7	2	0
8	2	0
9	2	0
10	2	22
11	2	0
12	2	0
13	2	11
14	2	11
15	2	11
16	2	0
17	2	11
18	2	11
19	2	11
20	2	11
21	2	11
22	2	11
23	2	0
0	3	15
1	3	15
2	3	16
3	3	15
4	3	10
5	3	6
6	3	4
7	3	2
8	3	2
9	3	1
10	3	3
11	3	5
12	3	8
13	3	9
14	3	9
15	3	11
16	3	14
17	3	14
18	3	14
19	3	14
20	3	12
21	3	14
22	3	12
23	3	13
0	4	17
1	4	19
2	4	19
3	4	7
4	4	7
5	4	5
6	4	2
7	4	2
8	4	2
9	4	0
10	4	8
11	4	16
12	4	7
13	4	12
14	4	10
15	4	15
16	4	19
17	4	15
18	4	7
19	4	20
20	4	8
21	4	15
22	4	19
23	4	20
0	5	0
1	5	0
2	5	0
3	5	183
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	208
23	5	0
0	6	31
1	6	13
2	6	13
3	6	25
4	6	8
5	6	10
6	6	4
7	6	4
8	6	0
9	6	5
10	6	0
11	6	5
12	6	10
13	6	7
14	6	5
15	6	10
16	6	13
17	6	18
18	6	11
19	6	28
20	6	18
21	6	8
22	6	18
23	6	23
0	7	7
1	7	15
2	7	14
3	7	14
4	7	12
5	7	6
