Counts for Apple(2) in Colombia(8):
Hour	Location Index	Count
0	0	29
1	0	29
2	0	54
3	0	0
4	0	29
5	0	0
6	0	0
7	0	29
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	54
14	0	29
15	0	0
16	0	0
17	0	29
18	0	0
19	0	54
20	0	0
21	0	0
22	0	0
23	0	0
0	1	21
1	1	40
2	1	43
3	1	46
4	1	28
5	1	4
6	1	0
7	1	0
8	1	0
9	1	8
10	1	8
11	1	18
12	1	28
13	1	28
14	1	11
15	1	14
16	1	11
17	1	24
18	1	21
19	1	18
20	1	8
21	1	34
22	1	28
23	1	18
0	2	32
1	2	50
2	2	41
3	2	22
4	2	32
5	2	22
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	32
13	2	32
14	2	11
15	2	11
16	2	11
17	2	11
18	2	0
19	2	11
20	2	0
21	2	11
22	2	32
23	2	32
0	3	26
1	3	27
2	3	29
3	3	25
4	3	19
5	3	8
6	3	5
7	3	3
8	3	3
9	3	3
10	3	5
11	3	12
12	3	17
13	3	17
14	3	18
15	3	18
16	3	20
17	3	17
18	3	19
19	3	19
20	3	19
21	3	18
22	3	20
23	3	22
0	4	15
1	4	19
2	4	31
3	4	40
4	4	22
5	4	21
6	4	3
7	4	3
8	4	0
9	4	3
10	4	6
11	4	8
12	4	10
13	4	16
14	4	21
15	4	14
16	4	32
17	4	24
18	4	22
19	4	32
20	4	30
21	4	27
22	4	24
23	4	17
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	88
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	33
1	6	15
2	6	29
3	6	19
4	6	15
5	6	5
6	6	0
7	6	0
8	6	2
9	6	4
10	6	7
11	6	4
12	6	8
13	6	4
14	6	11
15	6	7
16	6	19
17	6	10
18	6	20
19	6	15
20	6	13
21	6	13
22	6	11
23	6	15
0	7	19
1	7	14
2	7	13
3	7	17
4	7	8
5	7	7
