Counts for Huawei(6) in Colombia(8):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	29
3	0	0
4	0	0
5	0	29
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	29
16	0	0
17	0	0
18	0	0
19	0	29
20	0	0
21	0	0
22	0	0
23	0	0
0	1	4
1	1	11
2	1	0
3	1	0
4	1	4
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	4
14	1	0
15	1	0
16	1	0
17	1	0
18	1	4
19	1	0
20	1	4
21	1	0
22	1	0
23	1	4
0	2	22
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	11
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	11
21	2	22
22	2	0
23	2	11
0	3	7
1	3	6
2	3	7
3	3	7
4	3	6
5	3	3
6	3	2
7	3	1
8	3	1
9	3	1
10	3	2
11	3	3
12	3	6
13	3	5
14	3	6
15	3	7
16	3	8
17	3	6
18	3	6
19	3	8
20	3	7
21	3	7
22	3	6
23	3	8
0	4	14
1	4	8
2	4	5
3	4	11
4	4	5
5	4	5
6	4	0
7	4	3
8	4	0
9	4	0
10	4	0
11	4	3
12	4	7
13	4	6
14	4	16
15	4	11
16	4	2
17	4	8
18	4	6
19	4	11
20	4	6
21	4	12
22	4	6
23	4	8
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	5
1	6	2
2	6	10
3	6	5
4	6	2
5	6	10
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	4
12	6	0
13	6	0
14	6	5
15	6	4
16	6	5
17	6	0
18	6	5
19	6	7
20	6	4
21	6	5
22	6	0
23	6	11
0	7	13
1	7	14
2	7	14
3	7	16
4	7	8
5	7	8
6	7	2
7	7	1
8	7	4
9	7	4
10	7	2
11	7	6
12	7	12
13	7	7
14	7	9
15	7	21
16	7	9
17	7	11
18	7	11
19	7	16
20	7	19
21	7	16
22	7	11
23	7	12
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	36
14	8	36
15	8	66
16	8	0
17	8	0
18	8	0
19	8	36
20	8	0
21	8	0
22	8	0
23	8	0
0	9	5
1	9	15
2	9	0
3	9	0
4	9	5
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	10
13	9	0
14	9	10
15	9	0
16	9	10
17	9	0
18	9	5
19	9	10
20	9	0
21	9	5
22	9	15
23	9	0
0	10	4
1	10	12
2	10	12
3	10	15
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	15
12	10	0
13	10	4
14	10	15
15	10	8
16	10	0
17	10	12
18	10	8
19	10	8
20	10	8
21	10	0
22	10	12
23	10	15
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	145
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	88
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	24
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	12
16	12	0
17	12	0
18	12	0
19	12	12
20	12	0
21	12	0
22	12	0
23	12	0
0	13	9
1	13	8
2	13	8
3	13	6
4	13	4
5	13	2
6	13	1
7	13	1
8	13	1
9	13	1
10	13	2
11	13	3
12	13	5
13	13	6
14	13	6
15	13	7
16	13	7
17	13	7
18	13	7
19	13	7
20	13	7
21	13	7
22	13	7
23	13	8
0	14	16
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	16
21	14	16
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	17
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	21
1	16	18
2	16	21
3	16	18
4	16	13
5	16	6
6	16	3
7	16	2
8	16	1
9	16	1
10	16	2
11	16	6
12	16	10
13	16	13
14	16	17
15	16	15
16	16	15
17	16	16
18	16	18
19	16	17
20	16	14
21	16	15
22	16	16
23	16	20
0	17	15
1	17	0
2	17	8
3	17	12
4	17	4
5	17	4
6	17	8
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	12
14	17	0
15	17	8
16	17	8
17	17	8
18	17	4
19	17	0
20	17	4
21	17	8
22	17	4
23	17	12
0	18	18
1	18	18
2	18	0
3	18	0
4	18	18
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	18
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	14
1	19	10
2	19	5
3	19	0
4	19	0
5	19	5
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	5
16	19	0
17	19	0
18	19	5
19	19	0
20	19	10
21	19	0
22	19	10
23	19	5
0	20	11
1	20	0
2	20	11
3	20	11
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	22
13	20	0
14	20	11
15	20	22
16	20	31
17	20	0
18	20	11
19	20	11
20	20	11
21	20	0
22	20	0
23	20	22
0	21	11
1	21	11
2	21	12
3	21	9
4	21	8
5	21	2
6	21	2
7	21	0
8	21	0
9	21	7
10	21	7
11	21	3
12	21	2
13	21	4
14	21	8
15	21	14
16	21	12
17	21	12
18	21	13
19	21	9
20	21	6
21	21	11
22	21	6
23	21	8
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	21
2	23	21
3	23	27
4	23	39
5	23	14
6	23	0
7	23	0
8	23	0
9	23	21
10	23	7
11	23	27
12	23	0
13	23	0
14	23	0
15	23	7
