Counts for Samsung(12) in Croatia(9):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	12
8	0	0
9	0	23
10	0	23
11	0	0
12	0	23
13	0	23
14	0	54
15	0	34
16	0	54
17	0	34
18	0	54
19	0	34
20	0	44
21	0	80
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	8
5	1	8
6	1	0
7	1	15
8	1	22
9	1	8
10	1	0
11	1	8
12	1	22
13	1	22
14	1	22
15	1	22
16	1	8
17	1	0
18	1	42
19	1	42
20	1	29
21	1	15
22	1	22
23	1	22
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	10
6	2	0
7	2	0
8	2	10
9	2	18
10	2	0
11	2	0
12	2	10
13	2	10
14	2	0
15	2	10
16	2	35
17	2	18
18	2	27
19	2	50
20	2	0
21	2	27
22	2	0
23	2	0
0	3	0
1	3	4
2	3	2
3	3	2
4	3	6
5	3	9
6	3	22
7	3	19
8	3	15
9	3	18
10	3	14
11	3	6
12	3	25
13	3	36
14	3	14
15	3	18
16	3	25
17	3	28
18	3	24
19	3	24
20	3	18
21	3	9
22	3	9
23	3	6
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	51
7	4	0
8	4	91
9	4	149
10	4	0
11	4	0
12	4	51
13	4	0
14	4	51
15	4	0
16	4	0
17	4	0
18	4	91
19	4	91
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	4
4	5	4
5	5	13
6	5	4
7	5	15
8	5	10
9	5	27
10	5	12
11	5	20
12	5	21
13	5	5
14	5	26
15	5	7
16	5	27
17	5	7
18	5	30
19	5	30
20	5	23
21	5	32
22	5	7
23	5	0
0	6	0
1	6	51
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	51
8	6	0
9	6	0
10	6	0
11	6	51
12	6	0
13	6	19
14	6	51
15	6	0
16	6	0
17	6	0
18	6	19
19	6	0
20	6	0
21	6	19
22	6	0
23	6	19
0	7	0
1	7	0
2	7	0
3	7	42
4	7	0
5	7	0
6	7	0
7	7	0
8	7	42
9	7	0
10	7	0
11	7	0
12	7	0
13	7	42
14	7	42
15	7	0
16	7	0
17	7	0
18	7	0
19	7	77
20	7	0
21	7	0
22	7	0
23	7	0
0	8	3
1	8	0
2	8	2
3	8	2
4	8	6
5	8	3
6	8	17
7	8	20
8	8	21
9	8	21
10	8	12
11	8	18
12	8	13
13	8	18
14	8	26
15	8	24
16	8	13
17	8	20
18	8	26
19	8	29
20	8	20
21	8	13
22	8	20
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	28
7	9	10
8	9	36
9	9	0
10	9	28
11	9	10
12	9	10
13	9	19
14	9	0
15	9	10
16	9	0
17	9	19
18	9	0
19	9	36
20	9	28
21	9	19
22	9	0
23	9	0
0	10	15
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	15
7	10	0
8	10	0
9	10	15
10	10	0
11	10	15
12	10	0
13	10	29
14	10	66
15	10	0
16	10	29
17	10	87
18	10	15
19	10	15
20	10	42
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	18
5	11	0
6	11	18
7	11	12
8	11	12
9	11	6
10	11	23
11	11	29
12	11	23
13	11	23
14	11	18
15	11	12
16	11	6
17	11	23
18	11	39
19	11	23
20	11	12
21	11	6
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	27
7	12	0
8	12	14
9	12	27
10	12	0
11	12	40
12	12	40
13	12	14
14	12	73
15	12	27
16	12	40
17	12	0
18	12	14
19	12	51
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	12
4	13	0
5	13	0
6	13	34
7	13	0
8	13	0
9	13	23
10	13	0
11	13	0
12	13	0
13	13	23
14	13	12
15	13	12
16	13	23
17	13	0
18	13	0
19	13	53
20	13	12
21	13	23
22	13	0
23	13	0
0	14	0
1	14	0
2	14	25
3	14	25
4	14	25
5	14	0
6	14	0
7	14	13
8	14	0
9	14	0
10	14	0
11	14	0
12	14	46
13	14	0
14	14	25
15	14	13
16	14	13
17	14	25
18	14	0
19	14	25
20	14	13
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	19
3	15	0
4	15	0
5	15	10
6	15	14
7	15	10
8	15	10
9	15	10
10	15	36
11	15	27
12	15	32
13	15	23
14	15	14
15	15	10
16	15	10
17	15	5
18	15	0
19	15	23
20	15	14
21	15	14
22	15	14
23	15	0
0	16	6
1	16	0
2	16	0
3	16	0
4	16	0
5	16	6
6	16	6
7	16	27
8	16	0
9	16	0
10	16	6
11	16	6
12	16	42
13	16	22
14	16	27
15	16	32
16	16	17
17	16	22
18	16	17
19	16	42
20	16	17
21	16	6
22	16	6
23	16	17
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	4
6	17	37
7	17	26
8	17	43
9	17	46
10	17	20
11	17	23
12	17	26
13	17	13
14	17	43
15	17	17
16	17	17
17	17	0
18	17	10
19	17	17
20	17	23
21	17	7
22	17	4
23	17	0
0	18	0
1	18	4
2	18	5
3	18	4
4	18	7
5	18	14
6	18	23
7	18	16
8	18	22
9	18	23
10	18	17
11	18	29
12	18	29
13	18	16
14	18	25
15	18	14
16	18	14
17	18	22
18	18	23
19	18	32
20	18	37
21	18	25
22	18	10
23	18	8
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	39
6	19	0
7	19	0
8	19	0
9	19	39
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	21
18	19	21
19	19	0
20	19	100
21	19	86
22	19	0
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	53
7	20	0
8	20	0
9	20	0
10	20	28
11	20	0
12	20	28
13	20	0
14	20	0
15	20	0
16	20	0
17	20	28
18	20	28
19	20	53
20	20	0
21	20	0
22	20	28
23	20	28
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	13
6	21	13
7	21	0
8	21	0
9	21	7
10	21	7
11	21	25
12	21	0
13	21	25
14	21	25
15	21	7
16	21	13
17	21	0
18	21	47
19	21	52
20	21	19
21	21	0
22	21	0
23	21	7
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	57
6	22	0
7	22	0
8	22	30
9	22	16
10	22	16
11	22	0
12	22	0
13	22	0
14	22	0
15	22	16
16	22	0
17	22	0
18	22	16
19	22	16
20	22	16
21	22	16
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	20
6	23	10
7	23	0
8	23	37
9	23	37
10	23	20
11	23	20
12	23	29
13	23	76
14	23	29
15	23	0
