Counts for Apple(2) in Croatia(9):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	23
6	0	0
7	0	0
8	0	0
9	0	12
10	0	0
11	0	0
12	0	23
13	0	0
14	0	0
15	0	0
16	0	12
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	12
23	0	0
0	1	8
1	1	0
2	1	0
3	1	0
4	1	0
5	1	15
6	1	8
7	1	29
8	1	8
9	1	29
10	1	15
11	1	22
12	1	36
13	1	15
14	1	29
15	1	36
16	1	29
17	1	0
18	1	0
19	1	8
20	1	42
21	1	8
22	1	0
23	1	0
0	2	0
1	2	10
2	2	0
3	2	0
4	2	0
5	2	10
6	2	10
7	2	0
8	2	18
9	2	50
10	2	18
11	2	10
12	2	0
13	2	27
14	2	18
15	2	18
16	2	10
17	2	10
18	2	18
19	2	0
20	2	10
21	2	43
22	2	10
23	2	10
0	3	2
1	3	6
2	3	8
3	3	0
4	3	5
5	3	9
6	3	24
7	3	9
8	3	8
9	3	15
10	3	11
11	3	8
12	3	8
13	3	14
14	3	15
15	3	17
16	3	21
17	3	15
18	3	18
19	3	21
20	3	26
21	3	28
22	3	12
23	3	6
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	51
9	4	0
10	4	0
11	4	0
12	4	51
13	4	0
14	4	0
15	4	91
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	2
1	5	2
2	5	0
3	5	0
4	5	2
5	5	7
6	5	17
7	5	15
8	5	10
9	5	15
10	5	17
11	5	24
12	5	24
13	5	13
14	5	20
15	5	13
16	5	17
17	5	12
18	5	12
19	5	12
20	5	29
21	5	17
22	5	10
23	5	5
0	6	0
1	6	0
2	6	19
3	6	0
4	6	0
5	6	0
6	6	0
7	6	19
8	6	19
9	6	19
10	6	66
11	6	0
12	6	19
13	6	0
14	6	0
15	6	0
16	6	36
17	6	19
18	6	0
19	6	0
20	6	0
21	6	19
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	42
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	77
14	7	42
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	2
2	8	3
3	8	3
4	8	2
5	8	5
6	8	5
7	8	9
8	8	8
9	8	3
10	8	5
11	8	12
12	8	8
13	8	18
14	8	25
15	8	6
16	8	22
17	8	10
18	8	20
19	8	17
20	8	21
21	8	18
22	8	5
23	8	3
0	9	0
1	9	10
2	9	0
3	9	0
4	9	0
5	9	36
6	9	52
7	9	10
8	9	67
9	9	60
10	9	10
11	9	0
12	9	19
13	9	28
14	9	28
15	9	0
16	9	52
17	9	10
18	9	36
19	9	44
20	9	28
21	9	0
22	9	19
23	9	0
0	10	15
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	29
7	10	0
8	10	0
9	10	54
10	10	15
11	10	42
12	10	0
13	10	29
14	10	42
15	10	0
16	10	15
17	10	0
18	10	15
19	10	29
20	10	77
21	10	15
22	10	0
23	10	0
0	11	6
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	6
7	11	12
8	11	6
9	11	12
10	11	12
11	11	12
12	11	18
13	11	34
14	11	18
15	11	29
16	11	18
17	11	23
18	11	18
19	11	72
20	11	29
21	11	63
22	11	29
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	27
9	12	14
10	12	27
11	12	27
12	12	40
13	12	0
14	12	27
15	12	0
16	12	14
17	12	27
18	12	62
19	12	51
20	12	51
21	12	0
22	12	14
23	12	14
0	13	12
1	13	0
2	13	0
3	13	0
4	13	0
5	13	34
6	13	0
7	13	23
8	13	34
9	13	0
10	13	12
11	13	23
12	13	44
13	13	0
14	13	0
15	13	12
16	13	23
17	13	34
18	13	12
19	13	0
20	13	23
21	13	53
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	13
7	14	36
8	14	0
9	14	0
10	14	0
11	14	13
12	14	13
13	14	0
14	14	0
15	14	0
16	14	0
17	14	151
18	14	13
19	14	13
20	14	0
21	14	46
22	14	0
23	14	13
0	15	5
1	15	5
2	15	0
3	15	5
4	15	0
5	15	0
6	15	14
7	15	36
8	15	0
9	15	19
10	15	44
11	15	23
12	15	0
13	15	14
14	15	0
15	15	19
16	15	14
17	15	10
18	15	14
19	15	10
20	15	10
21	15	19
22	15	5
23	15	14
0	16	0
1	16	0
2	16	0
3	16	11
4	16	6
5	16	0
6	16	17
7	16	6
8	16	32
9	16	17
10	16	0
11	16	6
12	16	11
13	16	6
14	16	22
15	16	27
16	16	17
17	16	17
18	16	32
19	16	27
20	16	22
21	16	6
22	16	6
23	16	0
0	17	0
1	17	0
2	17	0
3	17	4
4	17	0
5	17	0
6	17	4
7	17	10
8	17	4
9	17	7
10	17	13
11	17	4
12	17	7
13	17	20
14	17	4
15	17	17
16	17	7
17	17	4
18	17	7
19	17	10
20	17	0
21	17	17
22	17	20
23	17	4
0	18	4
1	18	8
2	18	0
3	18	4
4	18	0
5	18	16
6	18	11
7	18	17
8	18	30
9	18	13
10	18	13
11	18	13
12	18	33
13	18	40
14	18	16
15	18	14
16	18	22
17	18	13
18	18	8
19	18	16
20	18	8
21	18	11
22	18	4
23	18	5
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	21
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	39
16	19	39
17	19	0
18	19	0
19	19	21
20	19	0
21	19	0
22	19	0
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	28
8	20	53
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	53
23	20	28
0	21	19
1	21	0
2	21	0
3	21	7
4	21	0
5	21	0
6	21	13
7	21	0
8	21	13
9	21	7
10	21	13
11	21	13
12	21	19
13	21	0
14	21	7
15	21	25
16	21	0
17	21	7
18	21	47
19	21	13
20	21	13
21	21	36
22	21	13
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	16
8	22	0
9	22	30
10	22	16
11	22	16
12	22	0
13	22	16
14	22	16
15	22	0
16	22	0
17	22	16
18	22	0
19	22	0
20	22	16
21	22	16
22	22	0
23	22	16
0	23	0
1	23	10
2	23	0
3	23	0
4	23	10
5	23	0
6	23	10
7	23	0
8	23	10
9	23	0
10	23	20
11	23	0
12	23	10
13	23	10
14	23	10
15	23	0
